Pot,Intensity,Frequency,Composition,SPs,RPs,TBs,Bac_Richness,Bac_Shannon,Bac_Simpson,Fun_Richness,Fun_Shannon,Fun_Simpson,Bac_PCoA1,Bac_PCoA2,Fun_PCoA1,Fun_PCoA2,RB,TB,TB_pot,R_S,RD,RDMC,SRL,SRA,RTD,RCC,RNC,Root_CN
Pot-114,Dry,High,Heterospecific,0,1.12,0.2452,426.5,5.372234054,0.99084876,53.5,1.930595251,0.747135444,-0.224910582,0.037827022,-0.282317284,0.004968616,0.125071429,0.218928571,6.13,1.333,0.235,236.564,88.313,651.97,0.261,41.09318161,0.816050947,50.3561472
Pot-117,Dry,High,Heterospecific,0,1.12,0.22712,321,4.469133713,0.9619042,50.5,2.756381632,0.895877,-0.337093538,0.106803086,-0.239483907,0.06250923,0.107357143,0.202785714,5.678,1.125,0.2561,232.336,72.18,580.802,0.269,41.7155304,0.791500032,52.70439509
Pot-119,Dry,High,Heterospecific,0,0.88,0.204,351,4.66762144,0.96616156,30.5,1.863177655,0.703733556,-0.326714618,0.103935226,-0.261317538,0.050067487,0.131272727,0.231818182,5.1,1.306,0.2746,259.733,66.246,571.585,0.255,42.2118187,0.836212933,50.47974868
Pot-61,Dry,Low,Conspecific,0.74,0.8,0.2802,618,5.342834551,0.98753776,54,2.530262339,0.864985667,-0.257883956,0.003322964,-0.37681596,-0.059631664,0.234075,0.35025,14.01,2.015,0.2754,263.038,66.095,571.951,0.254,41.91701126,0.845919013,49.55203822
Pot-62,Dry,Low,Conspecific,0,0.76,0.17586,635.5,5.229942303,0.97832468,40,1.855894952,0.739699667,-0.265772361,0.060986706,-0.322609072,0.209833019,0.148947368,0.231394737,8.793,1.807,0.2448,228.213,79.211,609.223,0.268,38.50326157,0.752491713,51.1676885
Pot-63,Dry,Low,Conspecific,0,0.92,0.18566,357.5,4.923861477,0.98384948,45,1.596925724,0.625259333,-0.283229451,0.03172285,-0.164531276,-0.053351458,0.145065217,0.201804348,9.283,2.557,0.2732,251.753,62.296,534.588,0.274,40.95361328,0.761354089,53.79049495
Pot-64,Dry,Low,Conspecific,0.88,0.94,0.23104,300,4.786394009,0.98080352,45,2.247709216,0.810324667,-0.347003282,0.102617488,-0.197505537,-0.012024153,0.133255319,0.245787234,11.552,1.356,0.2858,269.374,60.803,546.025,0.256,41.44358444,0.77537775,53.44954049
Pot-65,Dry,Low,Conspecific,0,0.5,0.14834,438.5,5.144571269,0.98601564,54.5,2.309081406,0.814869,-0.255097201,0.000409837,-0.287283314,-0.019593394,0.1666,0.29668,7.417,1.352,0.2478,226.762,87.566,681.722,0.237,41.46209717,0.872040093,47.54609049
Pot-66,Dry,Low,Conspecific,0,0.64,0.1573,697,5.257475635,0.98243604,49,2.16648263,0.784339,-0.308414384,0.03692163,-0.38778432,0.054939137,0.14225,0.24578125,7.865,1.374,0.2709,238.01,84.713,720.991,0.204,39.51128769,0.749637663,52.7071806
Pot-67,Dry,Low,Conspecific,0,0.58,0.21632,253,4.396320851,0.9665336,53.5,2.395852988,0.856084778,-0.361032432,0.090221622,-0.326691964,0.127628824,0.238724138,0.372965517,10.816,1.778,0.2798,277.033,61.242,538.356,0.266,38.93334961,0.667146921,58.3579844
Pot-68,Dry,Low,Conspecific,0,0.76,0.2327,437,4.892269764,0.9712466,51,2.329986539,0.808775667,-0.273427073,0.007960591,-0.4155048,-0.129239372,0.192052632,0.306184211,11.635,1.682,0.2535,254.985,63.162,503.063,0.313,38.07392883,0.676623821,56.27045287
Pot-69,Dry,Low,Conspecific,0.98,0.72,0.1907,545,5.200800388,0.9858012,55.5,1.925929032,0.722687111,-0.289160747,0.000381016,-0.408868555,-0.081917416,0.160916667,0.264861111,9.535,1.548,0.243,224.851,83.128,634.732,0.259,38.45883179,0.899770439,42.74293767
Pot-70,Dry,Low,Conspecific,0,0.74,0.1865,384.5,4.915162401,0.98285428,56,2.54216773,0.852401,-0.303464576,0.027198458,-0.393205442,-0.060517847,0.154783784,0.252027027,9.325,1.592,0.286,220.483,67.835,609.459,0.23,36.72660446,0.736431777,49.87102079
Pot-81,Dry,Low,Heterospecific,0,1,0.27812,445.5,5.076257905,0.98292796,56,2.664746819,0.866691778,-0.287840062,0.021614967,-0.21666712,-0.072670841,0.16752,0.27812,6.953,1.515,0.2466,254.069,72.441,561.213,0.289,39.71257019,0.807146907,49.20116753
Pot-82,Dry,Low,Heterospecific,1.08,1.04,0.42368,535,5.295920952,0.98592088,43,2.330364158,0.852204556,-0.309817721,0.036211873,-0.466606383,-0.007599305,0.239461538,0.407384615,10.592,1.426,0.2399,335.792,75.708,570.569,0.292,38.67370605,0.725388825,53.31444974
Pot-83,Dry,Low,Heterospecific,0,1.24,0.42088,500.5,5.296437665,0.98773536,36.5,1.940264874,0.709431889,-0.28863442,0.016608684,-0.365886071,-0.176158668,0.220677419,0.339419355,10.522,2.021,0.2621,270.53,61.361,505.336,0.301,40.55778503,0.696724892,58.21205112
Pot-84,Dry,Low,Heterospecific,0.52,0.84,0.3168,506,5.23072311,0.98588268,55,2.846195077,0.894338333,-0.305022073,0.039536351,-0.34670608,0.016049416,0.210095238,0.377142857,7.92,1.258,0.2366,363.132,69.129,513.897,0.329,36.06194687,0.648789704,55.58341424
Pot-85,Dry,Low,Heterospecific,1.08,1.28,0.27748,522.5,5.226633251,0.98706568,55,2.485255436,0.852300111,-0.270035562,-0.01526286,-0.272367089,0.178547048,0.14371875,0.21678125,6.937,1.967,0.2649,277.717,63.297,526.753,0.287,39.21834946,0.742024243,52.85319156
Pot-86,Dry,Low,Heterospecific,0.24,1.32,0.38592,587,5.508905094,0.9909722,60,2.657674454,0.861163667,-0.247964014,-0.021656712,-0.290742866,0.065659679,0.19630303,0.292363636,9.648,2.044,0.2355,252.727,96.882,716.757,0.237,40.40937805,0.738923669,54.68680967
Pot-87,Dry,Low,Heterospecific,0,1.04,0.29652,615,5.424680648,0.9881388,51.5,2.416824797,0.838544556,-0.238914331,-0.008460402,-0.295177611,-0.060608278,0.1705,0.285115385,7.413,1.68,0.2542,265.909,63.549,507.409,0.31,40.59539795,0.767148554,52.91725799
Pot-88,Dry,Low,Heterospecific,1.32,0.56,0.252,520,4.890226233,0.97450768,43.5,2.326824759,0.833104,-0.260421693,0.036455469,-0.162023444,0.102330319,0.26,0.45,6.3,1.832,0.2929,289.751,50.169,461.631,0.296,39.21863937,0.719101667,54.53837916
Pot-89,Dry,Low,Heterospecific,0,0.4,0.16196,321,4.760532272,0.97514932,69,2.509688928,0.850768222,-0.360412348,0.084869236,-0.266494102,0.159566294,0.1612,0.4049,4.049,0.999,0.263,260.027,64.558,533.501,0.285,38.6211586,0.75602901,51.08422837
Pot-90,Dry,Low,Heterospecific,0,1.04,0.20192,570.5,5.382048749,0.98765516,52.5,2.550825129,0.873131778,-0.337167862,0.071898562,-0.292103539,0.12284901,0.080692308,0.194153846,5.048,0.936,0.2522,279.96,67.495,534.869,0.297,40.37025452,0.697649539,57.86609503
Pot-96,Dry,High,Conspecific,0,0.5,0.09456,370,4.453584944,0.95481628,36.5,2.015634121,0.729036,-0.320349839,0.126970582,-0.400239251,0.081213519,0.11236,0.18912,4.728,1.464,0.2675,236.05,67.888,570.58,0.262,40.9487114,0.762625515,53.69438944
Pot-97,Dry,High,Conspecific,0,0.38,0.1037,380.5,4.792692139,0.97337092,42.5,2.584329951,0.889091778,-0.288319882,0.09794768,-0.194575891,-0.00602638,0.159578947,0.272894737,5.185,1.408,0.2557,218.958,78.072,627.14,0.249,42.17427063,0.742848933,56.77368406
Pot-98,Dry,High,Conspecific,0.46,0.3,0.09054,392.5,4.721236867,0.97448456,45,2.489766065,0.862421,-0.329920776,0.078648946,-0.438474035,-0.032589825,0.150533333,0.3018,4.527,0.995,0.225,218.127,102.477,724.241,0.245,40.68643188,1.09978044,36.99504956
