OTU,Taxonomy,taxon,guid,mbNumber,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait
64c4c7745e7b17652dfc185a61d02df3,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Tricellula;s__Tricellula_sp,Tricellula,1CB1CC1F-36B9-11D5-9548-00D0592D548C,10272,13,Saprotroph,|Plant Saprotroph|,Probable,Microfungus,NULL
a454bc7fbf4df385001f5648685701b7,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus_sp,Glomus,1CB18BAE-36B9-11D5-9548-00D0592D548C,20244,13,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Microfungus,NULL
5a8e0f18e7d6dca292cc44c99abc07c0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotryaceae_gen_Incertae_sedis;s__Stachybotryaceae_sp,Hypocreales,1CB18E60-36B9-11D5-9548-00D0592D548C,90477,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL
7ee7f26f1afb97219f3362d5cdc11285,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_funiculata,Preussia,1CB1CA81-36B9-11D5-9548-00D0592D548C,4363,13,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Microfungus,NULL
88c50c2510e16178ce7229b40bcaf5ce,k__Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA
4a2b73aa59663378f8fa68e1919809ad,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
3bd99dc056ed5bbaee884b763b12bde3,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae,Hypocreales,1CB18E60-36B9-11D5-9548-00D0592D548C,90477,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL
6d837318cd75c2b9e8f5d0a1cc91c5f3,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_ord_Incertae_sedis;f__Chytridiomycetes_fam_Incertae_sedis;g__Olpidiaster;s__Olpidiaster_brassicae,Olpidiaster,DD59DDB6-C3D5-4708-AE45-74A3AA65CC67,20378,13,Pathotroph,|Algal Parasite|-Plant Pathogen,Probable,Microfungus-Plasmodium,NULL
b38af7f1359407cce495f891352be1c0,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
2d783fc0a24c9350fd6e4c008ade61f1,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_raistrickii,Penicillium raistrickii,1CB1B596-36B9-11D5-9548-00D0592D548C,276069,20,Symbiotroph,Endophyte,Probable,Microfungus,NULL
6a96695bd5f30d731a7a7496af3ab47e,k__Fungi;p__Basidiomycota;c__Agaricomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac1ceae3d25b326d8a2674141b904822,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria_robusta,Ilyonectria,5172ACFB-49B4-4546-A662-2CF3E055E391,518558,13,Pathotroph,|Plant Pathogen|,Probable,Microfungus,NULL
10cd0dd5b27c5c530de08904bde367ac,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_embellisia,Alternaria,1CB17D15-36B9-11D5-9548-00D0592D548C,7106,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot
