SampleID,Pot,Intensity,Frequency,Composition,Replicate,Microbes
1WLC1B,Pot-1,Wet,Low,Conspecific,1,Bacteria
2WLC1B,Pot-2,Wet,Low,Conspecific,1,Bacteria
3WLC1B,Pot-3,Wet,Low,Conspecific,1,Bacteria
4WLC1B,Pot-4,Wet,Low,Conspecific,1,Bacteria
5WLC1B,Pot-5,Wet,Low,Conspecific,1,Bacteria
6WLC1B,Pot-6,Wet,Low,Conspecific,1,Bacteria
7WLC1B,Pot-7,Wet,Low,Conspecific,1,Bacteria
8WLC1B,Pot-8,Wet,Low,Conspecific,1,Bacteria
9WLC1B,Pot-9,Wet,Low,Conspecific,1,Bacteria
10WLC1B,Pot-10,Wet,Low,Conspecific,1,Bacteria
21WLH1B,Pot-21,Wet,Low,Heterospecific,1,Bacteria
22WLH1B,Pot-22,Wet,Low,Heterospecific,1,Bacteria
23WLH1B,Pot-23,Wet,Low,Heterospecific,1,Bacteria
24WLH1B,Pot-24,Wet,Low,Heterospecific,1,Bacteria
25WLH1B,Pot-25,Wet,Low,Heterospecific,1,Bacteria
26WLH1B,Pot-26,Wet,Low,Heterospecific,1,Bacteria
27WLH1B,Pot-27,Wet,Low,Heterospecific,1,Bacteria
28WLH1B,Pot-28,Wet,Low,Heterospecific,1,Bacteria
29WLH1B,Pot-29,Wet,Low,Heterospecific,1,Bacteria
30WLH1B,Pot-30,Wet,Low,Heterospecific,1,Bacteria
31WHC1B,Pot-31,Wet,High,Conspecific,1,Bacteria
32WHC1B,Pot-32,Wet,High,Conspecific,1,Bacteria
33WHC1B,Pot-33,Wet,High,Conspecific,1,Bacteria
34WHC1B,Pot-34,Wet,High,Conspecific,1,Bacteria
35WHC1B,Pot-35,Wet,High,Conspecific,1,Bacteria
36WHC1B,Pot-36,Wet,High,Conspecific,1,Bacteria
37WHC1B,Pot-37,Wet,High,Conspecific,1,Bacteria
38WHC1B,Pot-38,Wet,High,Conspecific,1,Bacteria
39WHC1B,Pot-39,Wet,High,Conspecific,1,Bacteria
40WHC1B,Pot-40,Wet,High,Conspecific,1,Bacteria
51WHH1B,Pot-51,Wet,High,Heterospecific,1,Bacteria
52WHH1B,Pot-52,Wet,High,Heterospecific,1,Bacteria
53WHH1B,Pot-53,Wet,High,Heterospecific,1,Bacteria
54WHH1B,Pot-54,Wet,High,Heterospecific,1,Bacteria
55WHH1B,Pot-55,Wet,High,Heterospecific,1,Bacteria
56WHH1B,Pot-56,Wet,High,Heterospecific,1,Bacteria
57WHH1B,Pot-57,Wet,High,Heterospecific,1,Bacteria
58WHH1B,Pot-58,Wet,High,Heterospecific,1,Bacteria
59WHH1B,Pot-59,Wet,High,Heterospecific,1,Bacteria
60WHH1B,Pot-60,Wet,High,Heterospecific,1,Bacteria
61DLC1B,Pot-61,Dry,Low,Conspecific,1,Bacteria
62DLC1B,Pot-62,Dry,Low,Conspecific,1,Bacteria
63DLC1B,Pot-63,Dry,Low,Conspecific,1,Bacteria
64DLC1B,Pot-64,Dry,Low,Conspecific,1,Bacteria
65DLC1B,Pot-65,Dry,Low,Conspecific,1,Bacteria
66DLC1B,Pot-66,Dry,Low,Conspecific,1,Bacteria
67DLC1B,Pot-67,Dry,Low,Conspecific,1,Bacteria
68DLC1B,Pot-68,Dry,Low,Conspecific,1,Bacteria
69DLC1B,Pot-69,Dry,Low,Conspecific,1,Bacteria
81DLH1B,Pot-81,Dry,Low,Heterospecific,1,Bacteria
82DLH1B,Pot-82,Dry,Low,Heterospecific,1,Bacteria
83DLH1B,Pot-83,Dry,Low,Heterospecific,1,Bacteria
84DLH1B,Pot-84,Dry,Low,Heterospecific,1,Bacteria
85DLH1B,Pot-85,Dry,Low,Heterospecific,1,Bacteria
86DLH1B,Pot-86,Dry,Low,Heterospecific,1,Bacteria
87DLH1B,Pot-87,Dry,Low,Heterospecific,1,Bacteria
88DLH1B,Pot-88,Dry,Low,Heterospecific,1,Bacteria
89DLH1B,Pot-89,Dry,Low,Heterospecific,1,Bacteria
90DLH1B,Pot-90,Dry,Low,Heterospecific,1,Bacteria
96DHC1B,Pot-96,Dry,High,Conspecific,1,Bacteria
97DHC1B,Pot-97,Dry,High,Conspecific,1,Bacteria
98DHC1B,Pot-98,Dry,High,Conspecific,1,Bacteria
114DHH1B,Pot-114,Dry,High,Heterospecific,1,Bacteria
117DHH1B,Pot-117,Dry,High,Heterospecific,1,Bacteria
119DHH1B,Pot-119,Dry,High,Heterospecific,1,Bacteria
1WLC2B,Pot-1,Wet,Low,Conspecific,2,Bacteria
2WLC2B,Pot-2,Wet,Low,Conspecific,2,Bacteria
3WLC2B,Pot-3,Wet,Low,Conspecific,2,Bacteria
4WLC2B,Pot-4,Wet,Low,Conspecific,2,Bacteria
5WLC2B,Pot-5,Wet,Low,Conspecific,2,Bacteria
6WLC2B,Pot-6,Wet,Low,Conspecific,2,Bacteria
7WLC2B,Pot-7,Wet,Low,Conspecific,2,Bacteria
8WLC2B,Pot-8,Wet,Low,Conspecific,2,Bacteria
9WLC2B,Pot-9,Wet,Low,Conspecific,2,Bacteria
10WLC2B,Pot-10,Wet,Low,Conspecific,2,Bacteria
21WLH2B,Pot-21,Wet,Low,Heterospecific,2,Bacteria
22WLH2B,Pot-22,Wet,Low,Heterospecific,2,Bacteria
23WLH2B,Pot-23,Wet,Low,Heterospecific,2,Bacteria
24WLH2B,Pot-24,Wet,Low,Heterospecific,2,Bacteria
25WLH2B,Pot-25,Wet,Low,Heterospecific,2,Bacteria
26WLH2B,Pot-26,Wet,Low,Heterospecific,2,Bacteria
28WLH2B,Pot-28,Wet,Low,Heterospecific,2,Bacteria
29WLH2B,Pot-29,Wet,Low,Heterospecific,2,Bacteria
30WLH2B,Pot-30,Wet,Low,Heterospecific,2,Bacteria
31WHC2B,Pot-31,Wet,High,Conspecific,2,Bacteria
32WHC2B,Pot-32,Wet,High,Conspecific,2,Bacteria
33WHC2B,Pot-33,Wet,High,Conspecific,2,Bacteria
34WHC2B,Pot-34,Wet,High,Conspecific,2,Bacteria
35WHC2B,Pot-35,Wet,High,Conspecific,2,Bacteria
36WHC2B,Pot-36,Wet,High,Conspecific,2,Bacteria
37WHC2B,Pot-37,Wet,High,Conspecific,2,Bacteria
38WHC2B,Pot-38,Wet,High,Conspecific,2,Bacteria
39WHC2B,Pot-39,Wet,High,Conspecific,2,Bacteria
40WHC2B,Pot-40,Wet,High,Conspecific,2,Bacteria
51WHH2B,Pot-51,Wet,High,Heterospecific,2,Bacteria
52WHH2B,Pot-52,Wet,High,Heterospecific,2,Bacteria
53WHH2B,Pot-53,Wet,High,Heterospecific,2,Bacteria
54WHH2B,Pot-54,Wet,High,Heterospecific,2,Bacteria
55WHH2B,Pot-55,Wet,High,Heterospecific,2,Bacteria
56WHH2B,Pot-56,Wet,High,Heterospecific,2,Bacteria
57WHH2B,Pot-57,Wet,High,Heterospecific,2,Bacteria
58WHH2B,Pot-58,Wet,High,Heterospecific,2,Bacteria
59WHH2B,Pot-59,Wet,High,Heterospecific,2,Bacteria
60WHH2B,Pot-60,Wet,High,Heterospecific,2,Bacteria
61DLC2B,Pot-61,Dry,Low,Conspecific,2,Bacteria
62DLC2B,Pot-62,Dry,Low,Conspecific,2,Bacteria
63DLC2B,Pot-63,Dry,Low,Conspecific,2,Bacteria
64DLC2B,Pot-64,Dry,Low,Conspecific,2,Bacteria
65DLC2B,Pot-65,Dry,Low,Conspecific,2,Bacteria
66DLC2B,Pot-66,Dry,Low,Conspecific,2,Bacteria
67DLC2B,Pot-67,Dry,Low,Conspecific,2,Bacteria
68DLC2B,Pot-68,Dry,Low,Conspecific,2,Bacteria
69DLC2B,Pot-69,Dry,Low,Conspecific,2,Bacteria
70DLC2B,Pot-70,Dry,Low,Conspecific,2,Bacteria
81DLH2B,Pot-81,Dry,Low,Heterospecific,2,Bacteria
82DLH2B,Pot-82,Dry,Low,Heterospecific,2,Bacteria
83DLH2B,Pot-83,Dry,Low,Heterospecific,2,Bacteria
84DLH2B,Pot-84,Dry,Low,Heterospecific,2,Bacteria
85DLH2B,Pot-85,Dry,Low,Heterospecific,2,Bacteria
86DLH2B,Pot-86,Dry,Low,Heterospecific,2,Bacteria
87DLH2B,Pot-87,Dry,Low,Heterospecific,2,Bacteria
88DLH2B,Pot-88,Dry,Low,Heterospecific,2,Bacteria
89DLH2B,Pot-89,Dry,Low,Heterospecific,2,Bacteria
90DLH2B,Pot-90,Dry,Low,Heterospecific,2,Bacteria
96DHC2B,Pot-96,Dry,High,Conspecific,2,Bacteria
97DHC2B,Pot-97,Dry,High,Conspecific,2,Bacteria
98DHC2B,Pot-98,Dry,High,Conspecific,2,Bacteria
114DHH2B,Pot-114,Dry,High,Heterospecific,2,Bacteria
117DHH2B,Pot-117,Dry,High,Heterospecific,2,Bacteria
119DHH2B,Pot-119,Dry,High,Heterospecific,2,Bacteria
70DLC1B,Pot-70,Dry,Low,Conspecific,1,Bacteria
