SampleID,Pot,Intensity,Frequency,Composition,Replicate,Microbes
1WLC1F,Pot-1,Wet,Low,Conspecific,1,Fungi
2WLC1F,Pot-2,Wet,Low,Conspecific,1,Fungi
3WLC1F,Pot-3,Wet,Low,Conspecific,1,Fungi
4WLC1F,Pot-4,Wet,Low,Conspecific,1,Fungi
5WLC1F,Pot-5,Wet,Low,Conspecific,1,Fungi
6WLC1F,Pot-6,Wet,Low,Conspecific,1,Fungi
7WLC1F,Pot-7,Wet,Low,Conspecific,1,Fungi
8WLC1F,Pot-8,Wet,Low,Conspecific,1,Fungi
9WLC1F,Pot-9,Wet,Low,Conspecific,1,Fungi
10WLC1F,Pot-10,Wet,Low,Conspecific,1,Fungi
21WLH1F,Pot-21,Wet,Low,Heterospecific,1,Fungi
22WLH1F,Pot-22,Wet,Low,Heterospecific,1,Fungi
23WLH1F,Pot-23,Wet,Low,Heterospecific,1,Fungi
24WLH1F,Pot-24,Wet,Low,Heterospecific,1,Fungi
25WLH1F,Pot-25,Wet,Low,Heterospecific,1,Fungi
26WLH1F,Pot-26,Wet,Low,Heterospecific,1,Fungi
27WLH1F,Pot-27,Wet,Low,Heterospecific,1,Fungi
28WLH1F,Pot-28,Wet,Low,Heterospecific,1,Fungi
29WLH1F,Pot-29,Wet,Low,Heterospecific,1,Fungi
30WLH1F,Pot-30,Wet,Low,Heterospecific,1,Fungi
31WHC1F,Pot-31,Wet,High,Conspecific,1,Fungi
32WHC1F,Pot-32,Wet,High,Conspecific,1,Fungi
33WHC1F,Pot-33,Wet,High,Conspecific,1,Fungi
34WHC1F,Pot-34,Wet,High,Conspecific,1,Fungi
35WHC1F,Pot-35,Wet,High,Conspecific,1,Fungi
36WHC1F,Pot-36,Wet,High,Conspecific,1,Fungi
37WHC1F,Pot-37,Wet,High,Conspecific,1,Fungi
38WHC1F,Pot-38,Wet,High,Conspecific,1,Fungi
39WHC1F,Pot-39,Wet,High,Conspecific,1,Fungi
40WHC1F,Pot-40,Wet,High,Conspecific,1,Fungi
51WHH1F,Pot-51,Wet,High,Heterospecific,1,Fungi
52WHH1F,Pot-52,Wet,High,Heterospecific,1,Fungi
53WHH1F,Pot-53,Wet,High,Heterospecific,1,Fungi
54WHH1F,Pot-54,Wet,High,Heterospecific,1,Fungi
55WHH1F,Pot-55,Wet,High,Heterospecific,1,Fungi
56WHH1F,Pot-56,Wet,High,Heterospecific,1,Fungi
57WHH1F,Pot-57,Wet,High,Heterospecific,1,Fungi
58WHH1F,Pot-58,Wet,High,Heterospecific,1,Fungi
59WHH1F,Pot-59,Wet,High,Heterospecific,1,Fungi
60WHH1F,Pot-60,Wet,High,Heterospecific,1,Fungi
61DLC1F,Pot-61,Dry,Low,Conspecific,1,Fungi
62DLC1F,Pot-62,Dry,Low,Conspecific,1,Fungi
63DLC1F,Pot-63,Dry,Low,Conspecific,1,Fungi
