"Microbe","Metric","Term","Chisq","Df","Pr(>Chisq)"
"Bacteria","Richness","(Intercept)",32168.8630286426,1,0
"Bacteria","Richness","Intensity",18.4178326382874,1,1.77390090153781e-05
"Bacteria","Richness","Frequency",2.61267130910218,1,0.106013048383083
"Bacteria","Richness","Composition",0.755509221419561,1,0.384737564523924
"Bacteria","Richness","Intensity:Frequency",3.87740438239665,1,0.0489401636915994
"Bacteria","Richness","Intensity:Composition",0.043393176413327,1,0.834986698569618
"Bacteria","Richness","Frequency:Composition",2.04681138219079,1,0.152525342856847
"Bacteria","Richness","Intensity:Frequency:Composition",0.058310435057091,1,0.80918657408137
"Bacteria","Shannon","(Intercept)",9708.11428189075,1,0
"Bacteria","Shannon","Intensity",13.0416276997243,1,0.000304643212623599
"Bacteria","Shannon","Frequency",6.18671003139797,1,0.0128713259418937
"Bacteria","Shannon","Composition",4.5296778955289,1,0.0333118870885356
"Bacteria","Shannon","Intensity:Frequency",1.24619707287812,1,0.264280060670147
"Bacteria","Shannon","Intensity:Composition",0.0767177849232798,1,0.781795651052821
"Bacteria","Shannon","Frequency:Composition",0.131538527098017,1,0.716842144637057
"Bacteria","Shannon","Intensity:Frequency:Composition",0.061351153469555,1,0.804372992946257
"Bacteria","Simpson","(Intercept)",403653.936074742,1,0
"Bacteria","Simpson","Intensity",3.82997480574546,1,0.0503436894912068
"Bacteria","Simpson","Frequency",6.47643686040003,1,0.0109313904898589
"Bacteria","Simpson","Composition",3.26672395966402,1,0.0706986753978837
"Bacteria","Simpson","Intensity:Frequency",2.26443773663027,1,0.132374247935086
"Bacteria","Simpson","Intensity:Composition",0.0437435079992034,1,0.834331543657519
"Bacteria","Simpson","Frequency:Composition",0.0572005231666011,1,0.81097662647365
"Bacteria","Simpson","Intensity:Frequency:Composition",0.157449271933271,1,0.691515850339885
"Fungi","Richness","(Intercept)",7868.69020314953,1,0
"Fungi","Richness","Intensity",0.552360997696315,1,0.457354593322148
"Fungi","Richness","Frequency",0.00290678362509318,1,0.957003207925187
"Fungi","Richness","Composition",1.07533894453441,1,0.299742610949461
"Fungi","Richness","Intensity:Frequency",3.97238873558773,1,0.0462521150090717
"Fungi","Richness","Intensity:Composition",0.243099305778105,1,0.62197653979815
"Fungi","Richness","Frequency:Composition",2.77697308733319,1,0.0956287466706646
"Fungi","Richness","Intensity:Frequency:Composition",3.33126041939643,1,0.067974764065617
"Fungi","Shannon","(Intercept)",1805.88345156023,1,0
"Fungi","Shannon","Intensity",0.664879020268722,1,0.414842731605509
"Fungi","Shannon","Frequency",0.108132427272398,1,0.742280441154442
"Fungi","Shannon","Composition",0.219453168140516,1,0.63945689301826
"Fungi","Shannon","Intensity:Frequency",0.766718163546792,1,0.381234233360232
"Fungi","Shannon","Intensity:Composition",0.000250771275869425,1,0.987365420130924
"Fungi","Shannon","Frequency:Composition",1.56749640325853,1,0.210570969454311
"Fungi","Shannon","Intensity:Frequency:Composition",0.853767818329584,1,0.355488620883017
"Fungi","Simpson","(Intercept)",5594.12366845824,1,0
"Fungi","Simpson","Intensity",0.970101513428767,1,0.324654863049909
"Fungi","Simpson","Frequency",0.114071420381995,1,0.735555655517144
"Fungi","Simpson","Composition",0.0816026785931836,1,0.775137145571515
"Fungi","Simpson","Intensity:Frequency",0.726832470953178,1,0.393911838689889
"Fungi","Simpson","Intensity:Composition",0.00138305331474681,1,0.970333970591583
"Fungi","Simpson","Frequency:Composition",1.49231053106515,1,0.221858313698242
"Fungi","Simpson","Intensity:Frequency:Composition",1.23884883565047,1,0.265693026647929
