"SampleID","Observed","Shannon","Simpson","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"10WLC1B",579,5.2987521258254,0.98407536,"Pot-10","Wet","Low","Conspecific",1,"Bacteria"
"10WLC2B",343,4.62060462211357,0.97003136,"Pot-10","Wet","Low","Conspecific",2,"Bacteria"
"114DHH1B",511,5.568434283687,0.991938,"Pot-114","Dry","High","Heterospecific",1,"Bacteria"
"114DHH2B",342,5.17603382362345,0.98975952,"Pot-114","Dry","High","Heterospecific",2,"Bacteria"
"117DHH1B",347,4.57542925065682,0.96659064,"Pot-117","Dry","High","Heterospecific",1,"Bacteria"
"117DHH2B",295,4.36283817470868,0.95721776,"Pot-117","Dry","High","Heterospecific",2,"Bacteria"
"119DHH1B",337,4.5620554118595,0.96199192,"Pot-119","Dry","High","Heterospecific",1,"Bacteria"
"119DHH2B",365,4.77318746865377,0.9703312,"Pot-119","Dry","High","Heterospecific",2,"Bacteria"
"1WLC1B",653,5.68994497024253,0.99185096,"Pot-1","Wet","Low","Conspecific",1,"Bacteria"
"1WLC2B",376,5.03187649272077,0.98358864,"Pot-1","Wet","Low","Conspecific",2,"Bacteria"
"21WLH1B",384,4.65518927668583,0.96469424,"Pot-21","Wet","Low","Heterospecific",1,"Bacteria"
"21WLH2B",409,5.0679539467756,0.98558376,"Pot-21","Wet","Low","Heterospecific",2,"Bacteria"
"22WLH1B",728,5.75158109317752,0.99120536,"Pot-22","Wet","Low","Heterospecific",1,"Bacteria"
"22WLH2B",661,5.48150550113471,0.98948056,"Pot-22","Wet","Low","Heterospecific",2,"Bacteria"
"23WLH1B",576,5.52862292373108,0.99187448,"Pot-23","Wet","Low","Heterospecific",1,"Bacteria"
"23WLH2B",519,5.66511414089478,0.99294968,"Pot-23","Wet","Low","Heterospecific",2,"Bacteria"
"24WLH1B",732,5.85485337649655,0.99400784,"Pot-24","Wet","Low","Heterospecific",1,"Bacteria"
"24WLH2B",1025,6.26167618128428,0.99447136,"Pot-24","Wet","Low","Heterospecific",2,"Bacteria"
"25WLH1B",713,5.51441800487917,0.98740656,"Pot-25","Wet","Low","Heterospecific",1,"Bacteria"
"25WLH2B",842,6.06583421841974,0.99525,"Pot-25","Wet","Low","Heterospecific",2,"Bacteria"
"26WLH1B",663,5.63479453914631,0.99186208,"Pot-26","Wet","Low","Heterospecific",1,"Bacteria"
"26WLH2B",736,5.85516196371718,0.99380408,"Pot-26","Wet","Low","Heterospecific",2,"Bacteria"
"27WLH1B",708,5.66370978002621,0.99207408,"Pot-27","Wet","Low","Heterospecific",1,"Bacteria"
"28WLH1B",496,5.61756808133976,0.99360536,"Pot-28","Wet","Low","Heterospecific",1,"Bacteria"
"28WLH2B",297,3.91697457950333,0.94705008,"Pot-28","Wet","Low","Heterospecific",2,"Bacteria"
"29WLH1B",583,5.65814133597615,0.99156992,"Pot-29","Wet","Low","Heterospecific",1,"Bacteria"
