"Pot","Intensity","Frequency","Composition","Observed_mean","Shannon_mean","Simpson_mean","n_samples"
"Pot-1","Wet","Low","Conspecific",514.5,5.36091073148165,0.9877198,2
"Pot-10","Wet","Low","Conspecific",461,4.95967837396949,0.97705336,2
"Pot-114","Dry","High","Heterospecific",426.5,5.37223405365523,0.99084876,2
"Pot-117","Dry","High","Heterospecific",321,4.46913371268275,0.9619042,2
"Pot-119","Dry","High","Heterospecific",351,4.66762144025663,0.96616156,2
"Pot-2","Wet","Low","Conspecific",565.5,5.30321383916756,0.98330344,2
"Pot-21","Wet","Low","Heterospecific",396.5,4.86157161173071,0.975139,2
"Pot-22","Wet","Low","Heterospecific",694.5,5.61654329715611,0.99034296,2
"Pot-23","Wet","Low","Heterospecific",547.5,5.59686853231293,0.99241208,2
"Pot-24","Wet","Low","Heterospecific",878.5,6.05826477889041,0.9942396,2
"Pot-25","Wet","Low","Heterospecific",777.5,5.79012611164945,0.99132828,2
"Pot-26","Wet","Low","Heterospecific",699.5,5.74497825143175,0.99283308,2
"Pot-27","Wet","Low","Heterospecific",708,5.66370978002621,0.99207408,1
"Pot-28","Wet","Low","Heterospecific",396.5,4.76727133042155,0.97032772,2
"Pot-29","Wet","Low","Heterospecific",632,5.70168122296067,0.99225424,2
"Pot-3","Wet","Low","Conspecific",591.5,5.40564170975176,0.9880022,2
"Pot-30","Wet","Low","Heterospecific",597,5.6187977686463,0.99278632,2
"Pot-31","Wet","High","Conspecific",613.5,5.56068817358822,0.9896386,2
"Pot-32","Wet","High","Conspecific",576.5,5.09951851463201,0.98189156,2
"Pot-33","Wet","High","Conspecific",367,4.09977896602963,0.9486282,2
"Pot-34","Wet","High","Conspecific",683.5,5.49171214802645,0.98866728,2
"Pot-35","Wet","High","Conspecific",513,4.64219571458569,0.96430912,2
"Pot-36","Wet","High","Conspecific",584,5.29575227742323,0.9822994,2
"Pot-37","Wet","High","Conspecific",632,5.38644330311814,0.98690452,2
"Pot-38","Wet","High","Conspecific",838.5,5.83778361516109,0.99199808,2
"Pot-39","Wet","High","Conspecific",558.5,4.72493987673292,0.96806244,2
"Pot-4","Wet","Low","Conspecific",753,5.83117007389528,0.99230536,2
"Pot-40","Wet","High","Conspecific",556,5.30351277046075,0.98570448,2
"Pot-5","Wet","Low","Conspecific",412,5.50582349736471,0.99281232,1
"Pot-51","Wet","High","Heterospecific",356.5,5.00126016427947,0.98249628,2
"Pot-52","Wet","High","Heterospecific",654.5,5.13841890623867,0.97268116,2
"Pot-53","Wet","High","Heterospecific",576.5,5.33294704779447,0.985258,2
"Pot-54","Wet","High","Heterospecific",478,5.26154734172569,0.9867476,2
"Pot-55","Wet","High","Heterospecific",446.5,5.38944824625805,0.99011688,2
"Pot-56","Wet","High","Heterospecific",815,5.88353417460283,0.99295716,2
"Pot-57","Wet","High","Heterospecific",571,4.96398881927187,0.96359104,2
"Pot-58","Wet","High","Heterospecific",613.5,5.00448522933776,0.974336,2
"Pot-59","Wet","High","Heterospecific",663.5,5.53944954661727,0.99052496,2
"Pot-6","Wet","Low","Conspecific",496,5.29682658421679,0.98666484,2
"Pot-60","Wet","High","Heterospecific",732,5.79305333690053,0.99196488,2
"Pot-61","Dry","Low","Conspecific",618,5.34283455058236,0.98753776,2
"Pot-62","Dry","Low","Conspecific",635.5,5.22994230268658,0.97832468,2
"Pot-63","Dry","Low","Conspecific",357.5,4.92386147698883,0.98384948,2
"Pot-64","Dry","Low","Conspecific",300,4.78639400934454,0.98080352,1
"Pot-65","Dry","Low","Conspecific",438.5,5.14457126941036,0.98601564,2
"Pot-66","Dry","Low","Conspecific",697,5.25747563545332,0.98243604,2
"Pot-67","Dry","Low","Conspecific",253,4.39632085076277,0.9665336,2
"Pot-68","Dry","Low","Conspecific",437,4.89226976428337,0.9712466,2
"Pot-69","Dry","Low","Conspecific",545,5.20080038790359,0.9858012,2
"Pot-7","Wet","Low","Conspecific",647.5,5.31340555835211,0.981028,2
"Pot-70","Dry","Low","Conspecific",384.5,4.9151624009964,0.98285428,2
"Pot-8","Wet","Low","Conspecific",324,4.73920611771883,0.97755284,2
"Pot-81","Dry","Low","Heterospecific",445.5,5.07625790468339,0.98292796,2
"Pot-82","Dry","Low","Heterospecific",535,5.29592095206482,0.98592088,2
"Pot-83","Dry","Low","Heterospecific",500.5,5.29643766453081,0.98773536,2
"Pot-84","Dry","Low","Heterospecific",506,5.23072310999798,0.98588268,2
"Pot-85","Dry","Low","Heterospecific",522.5,5.22663325052369,0.98706568,2
"Pot-86","Dry","Low","Heterospecific",587,5.5089050935362,0.9909722,2
"Pot-87","Dry","Low","Heterospecific",615,5.42468064808497,0.9881388,2
"Pot-88","Dry","Low","Heterospecific",520,4.89022623262382,0.97450768,1
"Pot-89","Dry","Low","Heterospecific",321,4.76053227174783,0.97514932,2
"Pot-9","Wet","Low","Conspecific",416.5,4.63298183228862,0.93871776,2
"Pot-90","Dry","Low","Heterospecific",570.5,5.3820487487465,0.98765516,2
"Pot-96","Dry","High","Conspecific",370,4.45358494428188,0.95481628,2
"Pot-97","Dry","High","Conspecific",380.5,4.79269213894934,0.97337092,2
"Pot-98","Dry","High","Conspecific",392.5,4.72123686725482,0.97448456,2
