"Pot","Intensity","Frequency","Composition","Observed_mean","Shannon_mean","Simpson_mean","n_samples"
"Pot-1","Wet","Low","Conspecific",34,1.87626769750726,0.668099444444444,2
"Pot-10","Wet","Low","Conspecific",55.5,2.49077954846624,0.806304888888889,2
"Pot-114","Dry","High","Heterospecific",53.5,1.93059525096872,0.747135444444444,2
"Pot-117","Dry","High","Heterospecific",50.5,2.75638163197087,0.895877,2
"Pot-119","Dry","High","Heterospecific",30.5,1.86317765450036,0.703733555555556,2
"Pot-2","Wet","Low","Conspecific",24.5,2.11804097769166,0.808918222222222,2
"Pot-21","Wet","Low","Heterospecific",46.5,2.33944129735912,0.833711333333333,2
"Pot-22","Wet","Low","Heterospecific",59,2.42394204348763,0.821827333333333,2
"Pot-23","Wet","Low","Heterospecific",56,2.29520814922828,0.794440888888889,2
"Pot-24","Wet","Low","Heterospecific",46.5,1.84825537238591,0.724051444444445,2
"Pot-25","Wet","Low","Heterospecific",53.5,2.03730562495918,0.78594,2
"Pot-26","Wet","Low","Heterospecific",52,1.90215266129311,0.744590777777778,2
"Pot-27","Wet","Low","Heterospecific",66,3.04348080918601,0.903089333333333,1
"Pot-28","Wet","Low","Heterospecific",44,1.85004571427626,0.681609777777778,2
"Pot-29","Wet","Low","Heterospecific",39,2.63914695422474,0.872139888888889,2
"Pot-3","Wet","Low","Conspecific",19.5,1.70956644029456,0.763530555555556,2
"Pot-30","Wet","Low","Heterospecific",51.5,1.92844264655138,0.707426555555555,2
"Pot-31","Wet","High","Conspecific",80,2.98768222406551,0.909044,2
"Pot-32","Wet","High","Conspecific",46.5,1.87862795600911,0.697629666666667,2
"Pot-33","Wet","High","Conspecific",58.5,2.67605526056279,0.870291111111111,2
"Pot-34","Wet","High","Conspecific",31.5,1.81775374235257,0.751452444444444,2
"Pot-35","Wet","High","Conspecific",43.5,2.23181215789548,0.822893111111111,2
"Pot-36","Wet","High","Conspecific",54,2.36061618125879,0.808759666666667,2
"Pot-37","Wet","High","Conspecific",62.5,2.24272939250156,0.818526222222222,2
"Pot-38","Wet","High","Conspecific",27.5,1.90648823503327,0.787558222222222,2
"Pot-39","Wet","High","Conspecific",65,2.42901192561751,0.786520555555556,2
"Pot-4","Wet","Low","Conspecific",25,1.89671162316028,0.746468111111111,2
"Pot-40","Wet","High","Conspecific",70.5,2.20014490190477,0.741605111111111,2
"Pot-5","Wet","Low","Conspecific",20.5,1.74241541447487,0.750560888888889,2
"Pot-51","Wet","High","Heterospecific",60,2.67267060540922,0.872362888888889,2
"Pot-52","Wet","High","Heterospecific",52,2.53737075687587,0.868283777777778,2
"Pot-53","Wet","High","Heterospecific",67.5,2.66488311860422,0.874285222222222,2
"Pot-54","Wet","High","Heterospecific",66,2.98435670885688,0.908931111111111,2
"Pot-55","Wet","High","Heterospecific",37.5,2.107069192556,0.797669444444444,2
"Pot-56","Wet","High","Heterospecific",21,1.74994978851578,0.707071111111111,1
"Pot-57","Wet","High","Heterospecific",38.5,2.30724277063686,0.845586222222222,2
"Pot-58","Wet","High","Heterospecific",30.5,1.76240857620358,0.699078777777778,2
"Pot-59","Wet","High","Heterospecific",30.5,2.11043495401539,0.793290333333333,2
"Pot-6","Wet","Low","Conspecific",22,1.57950874657268,0.656236,2
"Pot-60","Wet","High","Heterospecific",55.5,1.72994727558706,0.625940111111111,2
"Pot-61","Dry","Low","Conspecific",54,2.53026233855541,0.864985666666667,2
"Pot-62","Dry","Low","Conspecific",40,1.85589495242024,0.739699666666667,2
"Pot-63","Dry","Low","Conspecific",45,1.59692572397636,0.625259333333333,2
"Pot-64","Dry","Low","Conspecific",45,2.24770921600571,0.810324666666667,2
"Pot-65","Dry","Low","Conspecific",54.5,2.30908140622215,0.814869,2
"Pot-66","Dry","Low","Conspecific",49,2.16648263026468,0.784339,2
"Pot-67","Dry","Low","Conspecific",53.5,2.39585298788205,0.856084777777778,2
"Pot-68","Dry","Low","Conspecific",51,2.32998653922194,0.808775666666667,2
"Pot-69","Dry","Low","Conspecific",55.5,1.92592903228908,0.722687111111111,2
"Pot-7","Wet","Low","Conspecific",81,3.00356169037897,0.921529777777778,2
"Pot-70","Dry","Low","Conspecific",56,2.54216772969287,0.852401,2
"Pot-8","Wet","Low","Conspecific",36,1.80390209413345,0.684889333333333,2
"Pot-81","Dry","Low","Heterospecific",56,2.664746819142,0.866691777777778,2
"Pot-82","Dry","Low","Heterospecific",43,2.33036415828475,0.852204555555556,2
"Pot-83","Dry","Low","Heterospecific",36.5,1.94026487415176,0.709431888888889,2
"Pot-84","Dry","Low","Heterospecific",55,2.84619507701534,0.894338333333333,2
"Pot-85","Dry","Low","Heterospecific",55,2.48525543583961,0.852300111111111,2
"Pot-86","Dry","Low","Heterospecific",60,2.65767445425078,0.861163666666667,2
"Pot-87","Dry","Low","Heterospecific",51.5,2.41682479740811,0.838544555555556,2
"Pot-88","Dry","Low","Heterospecific",43.5,2.32682475898033,0.833104,2
"Pot-89","Dry","Low","Heterospecific",69,2.50968892755722,0.850768222222222,2
"Pot-9","Wet","Low","Conspecific",54.5,2.88088125372798,0.910055666666667,2
"Pot-90","Dry","Low","Heterospecific",52.5,2.55082512861595,0.873131777777778,2
"Pot-96","Dry","High","Conspecific",36.5,2.01563412079978,0.729036,2
"Pot-97","Dry","High","Conspecific",42.5,2.58432995072817,0.889091777777778,2
"Pot-98","Dry","High","Conspecific",45,2.48976606529194,0.862421,2
