"OTU","trophicMode","trophicMode_clean","guild","guild_clean","confidenceRanking"
"64c4c7745e7b17652dfc185a61d02df3","Saprotroph","Saprotroph","|Plant Saprotroph|","Plant Saprotroph","Probable"
"a454bc7fbf4df385001f5648685701b7","Symbiotroph","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Arbuscular Mycorrhizal","Highly Probable"
"7ee7f26f1afb97219f3362d5cdc11285","Saprotroph","Saprotroph","|Dung Saprotroph|-Undefined Saprotroph","Dung Saprotroph","Probable"
"6d837318cd75c2b9e8f5d0a1cc91c5f3","Pathotroph","Pathotroph","|Algal Parasite|-Plant Pathogen","Algal Parasite","Probable"
"2d783fc0a24c9350fd6e4c008ade61f1","Symbiotroph","Symbiotroph","Endophyte","Endophyte","Probable"
"ac1ceae3d25b326d8a2674141b904822","Pathotroph","Pathotroph","|Plant Pathogen|","Plant Pathogen","Probable"
"ad2fdd3a85b0f868191173d0b0695c73","Saprotroph-Symbiotroph","Multi-trophic","Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|","Endophyte","Probable"
"c06dca33c44e80a63c82e75b5be8cd86","Symbiotroph","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Arbuscular Mycorrhizal","Highly Probable"
"a9b54be2960f57595914b1efee00b138","Pathotroph-Saprotroph","Multi-trophic","|Animal Parasite|-Dung Saprotroph-Nematophagous-Wood Saprotroph","Animal Parasite","Probable"
"72c6b23e6e129982fa5ccb88e7ba3a8a","Pathotroph-Saprotroph","Multi-trophic","Animal Parasite-Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph","Animal Parasite","Probable"
"ef46ec73099347722cf91ff1bee30049","Saprotroph","Saprotroph","Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|","Plant Saprotroph","Probable"
"c77d168d454c013c802a4ada5ebe5d79","Pathotroph-Saprotroph","Multi-trophic","Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|","Plant Pathogen","Highly Probable"
"5973b73885a45ec80b9c9714b4435431","Pathotroph-Saprotroph","Multi-trophic","|Animal Parasite|-Animal Pathogen-Undefined Saprotroph","Animal Parasite","Probable"
"8ce08f5a63c413f35a5b3759cf6f2992","Saprotroph-Symbiotroph","Multi-trophic","Endophyte-|Plant Saprotroph|-Undefined Saprotroph","Endophyte","Probable"
"9f557d40df35f0c0978091b17fcdc777","Pathotroph","Pathotroph","|Plant Pathogen|","Plant Pathogen","Probable"
"e3ba9a52c9e63ed40148a3757005031e","Saprotroph","Saprotroph","|Plant Saprotroph|-Undefined Saprotroph","Plant Saprotroph","Probable"
"1f13d9ba378e414ce2708e7cab16dd53","Saprotroph-Symbiotroph","Multi-trophic","Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph","Ectomycorrhizal","Highly Probable"
"ae93ea83ac38a66335d56cee3b7ac634","Symbiotroph","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Arbuscular Mycorrhizal","Highly Probable"
"db54a1e37e9d413560690921568662ba","Pathotroph-Saprotroph","Multi-trophic","Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph","Plant Pathogen","Probable"
"2b03aae15f42b53ba1384634d08cb6cb","Saprotroph","Saprotroph","|Plant Saprotroph|","Plant Saprotroph","Highly Probable"
"dd53217d6ff6f4c5eef8dd17874c8999","Pathotroph","Pathotroph","|Plant Pathogen|","Plant Pathogen","Probable"
"84f6998f9b93aef37ee9f2ca8995f0cd","Saprotroph-Symbiotroph","Multi-trophic","Endophyte-Plant Saprotroph-|Undefined Saprotroph|","Endophyte","Probable"
"34752cd6e43ebc50e7dcf3a6ee83722e","Pathotroph-Saprotroph-Symbiotroph","Multi-trophic","Endophyte-|Plant Pathogen|-Plant Saprotroph","Endophyte","Probable"
"b2a05089fbfba1cd8284d72886e80ce3","Saprotroph-Symbiotroph","Multi-trophic","Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph","Ectomycorrhizal","Highly Probable"
"3494bf92fca823401051bcff92fd1bed","Pathotroph-Saprotroph","Multi-trophic","Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph","Plant Pathogen","Probable"
"420f4b9d5d4c17478df07d728e3e9188","Saprotroph","Saprotroph","|Plant Saprotroph|-Undefined Saprotroph","Plant Saprotroph","Probable"
"22fa5b7d50ebda43e46f0dd9ac56e656","Saprotroph","Saprotroph","Dung Saprotroph-Plant Saprotroph","Dung Saprotroph","Probable"
"4fdabc2187e40177e9d481e58e6f8e65","Pathotroph-Saprotroph-Symbiotroph","Multi-trophic","Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph","Animal Parasite","Highly Probable"
"dfb6d38195f44945c16106c58268d49d","Pathotroph-Saprotroph","Multi-trophic","|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph","Plant Pathogen","Probable"
"41f99f95cd2352dcba43e38f3681cc47","Saprotroph-Symbiotroph","Multi-trophic","Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|","Endophyte","Probable"
"a9dbbcc83ad2537b4872125055400f7d","Symbiotroph","Symbiotroph","|Arbuscular Mycorrhizal|-Endophyte","Arbuscular Mycorrhizal","Highly Probable"
"363897ce7311b1ec4d318aa94bd02293","Saprotroph","Saprotroph","|Dung Saprotroph|-Undefined Saprotroph","Dung Saprotroph","Probable"
"fdb0d4aa1d2c914f92d1d933d0d07664","Saprotroph","Saprotroph","|Dung Saprotroph|-Undefined Saprotroph","Dung Saprotroph","Highly Probable"
"42551b4639aff66a99540d847c077369","Pathotroph-Saprotroph","Multi-trophic","|Animal Parasite|-Fungal Parasite-Undefined Saprotroph","Animal Parasite","Probable"
"8efd5c16c20117e065b270a2c671b98f","Saprotroph","Saprotroph","|Plant Saprotroph|-Undefined Saprotroph","Plant Saprotroph","Probable"
"0e0371d2cdeb6bd83ef2e4ab0e7d59c3","Saprotroph","Saprotroph","|Plant Saprotroph|-Undefined Saprotroph","Plant Saprotroph","Probable"
