"SampleID","Multi-trophic","Pathotroph","Saprotroph","Symbiotroph","Unassigned","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"10WLC1F",682,48,4932,75,17587,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC2F",1313,963,2091,905,7297,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"114DHH1F",3531,84,11852,1096,7527,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH2F",457,53,6463,7131,739,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"117DHH1F",2906,177,582,1130,1746,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH2F",9900,36,5566,34,2451,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"119DHH1F",3187,0,4551,193,1025,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH2F",625,558,9040,195,3015,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"1WLC1F",1961,3823,1014,609,2052,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC2F",704,24,1085,77,12154,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"21WLH1F",2678,36,16741,194,20853,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH2F",3455,6705,7149,34,9210,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"22WLH1F",3261,1861,9641,1339,11690,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH2F",2993,615,14173,945,17787,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"23WLH1F",1036,24,7247,79,11462,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH2F",10623,204,2886,0,4108,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"24WLH1F",1402,224,5015,49,33083,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH2F",6538,518,14944,255,24870,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"25WLH1F",602,3,5748,318,18683,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH2F",2544,7587,8775,525,10285,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"26WLH1F",2148,269,12802,888,43557,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH2F",881,4,10784,55,43122,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"27WLH1F",3516,419,6957,190,8557,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F",6799,3,1329,18,5829,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH2F",24451,30,2262,99,2435,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"29WLH1F",890,12,1079,0,1131,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH2F",2400,0,1477,0,2675,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"2WLC1F",1258,0,342,107,1681,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC2F",222,20,1315,1135,3035,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"30WLH1F",3454,146,37597,90,25953,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH2F",3195,347,3672,775,10503,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"31WHC1F",6160,545,11777,461,25555,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC2F",14241,4274,16657,1361,15598,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"32WHC1F",3880,1473,14275,232,35479,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC2F",2052,1795,7918,26,20519,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"33WHC1F",1872,28,14270,5201,14550,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC2F",4800,2216,16802,508,7148,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"34WHC1F",1607,126,19332,147,23481,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC2F",3964,4,33960,1344,16987,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"35WHC1F",2187,14,10239,4320,13826,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC2F",6352,93,13520,29,26106,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"36WHC1F",9318,629,6708,12,14292,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC2F",17384,793,3647,670,51837,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"37WHC1F",1507,268,8496,78,20518,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC2F",1143,63,17786,306,16761,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"38WHC1F",7439,11,2935,25,25914,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC2F",15584,232,9088,1878,24023,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"39WHC1F",2866,34,28739,58,5777,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC2F",6101,1495,8090,1915,25255,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"3WLC1F",1856,0,15410,0,21040,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC2F",22487,0,6965,4162,12491,"Pot-3","Wet","Low","Conspecific",2,"Fungi"
"40WHC1F",3577,205,5751,851,38880,"Pot-40","Wet","High","Conspecific",1,"Fungi"
"40WHC2F",1671,266,8371,37,21862,"Pot-40","Wet","High","Conspecific",2,"Fungi"
"4WLC1F",2046,32,1202,10,3421,"Pot-4","Wet","Low","Conspecific",1,"Fungi"
"4WLC2F",46,0,540,10040,8395,"Pot-4","Wet","Low","Conspecific",2,"Fungi"
"51WHH1F",1803,108,8809,55,7607,"Pot-51","Wet","High","Heterospecific",1,"Fungi"
"51WHH2F",2416,148,5465,673,9252,"Pot-51","Wet","High","Heterospecific",2,"Fungi"
"52WHH1F",1298,806,16563,11,19087,"Pot-52","Wet","High","Heterospecific",1,"Fungi"
"52WHH2F",5429,9144,11020,111,3794,"Pot-52","Wet","High","Heterospecific",2,"Fungi"
"53WHH1F",4468,799,9293,162,7735,"Pot-53","Wet","High","Heterospecific",1,"Fungi"
"53WHH2F",2092,109,15566,30,9302,"Pot-53","Wet","High","Heterospecific",2,"Fungi"
"54WHH1F",2560,202,6968,99,14032,"Pot-54","Wet","High","Heterospecific",1,"Fungi"
