"SampleID","trophicMode_clean","Abundance","RelAbundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"10WLC1F","Multi-trophic",682,0.0292402675355857,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC1F","Pathotroph",48,0.00205796604356028,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC1F","Saprotroph",4932,0.211456010975819,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC1F","Symbiotroph",75,0.00321557194306294,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC1F","Unassigned",17587,0.754030183501972,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC2F","Multi-trophic",1313,0.104463362240433,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"10WLC2F","Pathotroph",963,0.0766170737528841,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"10WLC2F","Saprotroph",2091,0.166361683507041,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"10WLC2F","Symbiotroph",905,0.072002545946376,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"10WLC2F","Unassigned",7297,0.580555334553266,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"114DHH1F","Multi-trophic",3531,0.146575342465753,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH1F","Pathotroph",84,0.00348692403486924,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH1F","Saprotroph",11852,0.491988376919884,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH1F","Symbiotroph",1096,0.0454960564549606,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH1F","Unassigned",7527,0.312453300124533,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH2F","Multi-trophic",457,0.0307889240719531,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"114DHH2F","Pathotroph",53,0.00357070673044533,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"114DHH2F","Saprotroph",6463,0.435424105639022,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"114DHH2F","Symbiotroph",7131,0.480428484807653,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"114DHH2F","Unassigned",739,0.0497877787509264,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"117DHH1F","Multi-trophic",2906,0.444274575752943,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH1F","Pathotroph",177,0.0270600825561841,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH1F","Saprotroph",582,0.0889772206084697,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH1F","Symbiotroph",1130,0.172756459256994,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH1F","Unassigned",1746,0.266931661825409,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH2F","Multi-trophic",9900,0.550397509312281,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"117DHH2F","Pathotroph",36,0.0020014454884083,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"117DHH2F","Saprotroph",5566,0.309445710791127,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"117DHH2F","Symbiotroph",34,0.00189025407238561,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"117DHH2F","Unassigned",2451,0.136265080335798,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"119DHH1F","Multi-trophic",3187,0.355850826261724,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH1F","Pathotroph",0,0,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH1F","Saprotroph",4551,0.508150960250112,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH1F","Symbiotroph",193,0.0215497990174185,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH1F","Unassigned",1025,0.114448414470746,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH2F","Multi-trophic",625,0.0465272091118886,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"119DHH2F","Pathotroph",558,0.0415394922950942,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"119DHH2F","Saprotroph",9040,0.672969552594357,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"119DHH2F","Symbiotroph",195,0.0145164892429093,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"119DHH2F","Unassigned",3015,0.224447256755751,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
