"SampleID","Multi-trophic","Pathotroph","Saprotroph","Symbiotroph","Unassigned","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"10WLC1F",0.0292402675355857,0.00205796604356028,0.211456010975819,0.00321557194306294,0.754030183501972,"Pot-10","Wet","Low","Conspecific",1,"Fungi"
"10WLC2F",0.104463362240433,0.0766170737528841,0.166361683507041,0.072002545946376,0.580555334553266,"Pot-10","Wet","Low","Conspecific",2,"Fungi"
"114DHH1F",0.146575342465753,0.00348692403486924,0.491988376919884,0.0454960564549606,0.312453300124533,"Pot-114","Dry","High","Heterospecific",1,"Fungi"
"114DHH2F",0.0307889240719531,0.00357070673044533,0.435424105639022,0.480428484807653,0.0497877787509264,"Pot-114","Dry","High","Heterospecific",2,"Fungi"
"117DHH1F",0.444274575752943,0.0270600825561841,0.0889772206084697,0.172756459256994,0.266931661825409,"Pot-117","Dry","High","Heterospecific",1,"Fungi"
"117DHH2F",0.550397509312281,0.0020014454884083,0.309445710791127,0.00189025407238561,0.136265080335798,"Pot-117","Dry","High","Heterospecific",2,"Fungi"
"119DHH1F",0.355850826261724,0,0.508150960250112,0.0215497990174185,0.114448414470746,"Pot-119","Dry","High","Heterospecific",1,"Fungi"
"119DHH2F",0.0465272091118886,0.0415394922950942,0.672969552594357,0.0145164892429093,0.224447256755751,"Pot-119","Dry","High","Heterospecific",2,"Fungi"
"1WLC1F",0.207315783909504,0.404165345173908,0.107199492546781,0.064383127180463,0.216936251189343,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC2F",0.0501281686129308,0.00170891483907719,0.0772571916832811,0.0054827684420393,0.865422956422672,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"21WLH1F",0.0661201915954768,0.000888844995308874,0.413337612957385,0.00478988691916449,0.514863463532665,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH2F",0.130117124242082,0.25251384024404,0.269235114676308,0.00128045795202049,0.34685346288555,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"22WLH1F",0.117335924006908,0.066961715601612,0.346898388025331,0.0481793321819229,0.420624640184226,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH2F",0.081970804918796,0.0168433160792047,0.388163119984663,0.0258811929997535,0.487141566017583,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"23WLH1F",0.0521966948810963,0.00120918984280532,0.36512494961709,0.00398024989923418,0.577488915759774,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH2F",0.596094495258403,0.0114471690701981,0.161943774198979,0,0.23051456147242,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"24WLH1F",0.0352500439996983,0.00563196138083625,0.126090563950419,0.00123199155205793,0.831795439116989,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH2F",0.138737400530504,0.0109920424403183,0.317114058355438,0.00541114058355438,0.527745358090186,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"25WLH1F",0.0237437879624517,0.000118324524729826,0.226709789382346,0.0125423996213615,0.736885698509111,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH2F",0.0856104455512182,0.255317000942253,0.295295463723247,0.0176672499663481,0.346109839816934,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"26WLH1F",0.0360016090104586,0.00450858138911236,0.214568248860284,0.0148833467417538,0.730038213998391,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH2F",0.0160631586624366,7.29314808737191e-05,0.196623272435547,0.00100280786201364,0.786237829559129,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"27WLH1F",0.179031518916442,0.0213350985284383,0.354244106115383,0.00967462701766892,0.435714649422068,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F",0.486407211332093,0.000214622978966948,0.095077979682358,0.00128773787380169,0.41701244813278,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH2F",0.835160706356526,0.00102469515319193,0.0772620145506712,0.00338149400553335,0.0831710899340779,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"29WLH1F",0.28598971722365,0.0038560411311054,0.34672236503856,0,0.363431876606684,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH2F",0.366300366300366,0,0.22542735042735,0,0.408272283272283,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"2WLC1F",0.371310507674144,0,0.100944510035419,0.031582054309327,0.49616292798111,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC2F",0.0387637506547931,0.0034922297887201,0.229614108608346,0.198184040509866,0.529945870438275,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"30WLH1F",0.0513682331945271,0.00217132659131469,0.559146341463415,0.00133848899464604,0.385975609756098,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH2F",0.172777417261518,0.0187648712956954,0.198572355613238,0.0419100151416829,0.567975340687865,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"31WHC1F",0.13843318800845,0.0122477414715268,0.264663580385635,0.0103600161805025,0.574295473953886,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC2F",0.273177188237325,0.0819857666263835,0.319521973489862,0.0261073065930061,0.299207765053423,"Pot-31","Wet","High","Conspecific",2,"Fungi"
