"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"87df14efae8b75990eaf7c2785573afd","High",0.84405483266347,0.001,0.0132823529411765,"Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",""
"9c5ffa633c46acf767447b7ce4fa276f","High",0.841182183321779,0.001,0.0132823529411765,"Firmicutes","Clostridia","","",""
"7061e68888c2906619e7cb18c6bd3d1a","High",0.834771861668493,0.001,0.0132823529411765,"Bacteroidota","Bacteroidia","Bacteroidales","",""
"fccd5b7afe391870624505cf6472e0b1","High",0.826070007145574,0.001,0.0132823529411765,"Firmicutes","Negativicutes","uncultured","uncultured","uncultured"
"dbc7b810cb19121f0e209fac0c2f065d","High",0.820278862123516,0.001,0.0132823529411765,"Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",""
"5eeaf06d4d2579816f65cf04240b033d","High",0.784464540552736,0.001,0.0132823529411765,"Firmicutes","Limnochordia","Limnochordia","Limnochordia","Hydrogenispora"
"0f1941282c37404429c575da250ee913","High",0.771670798163847,0.001,0.0132823529411765,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured"
"ba6d2e69bc1659aa99a71c88bee74244","High",0.768495713508998,0.001,0.0132823529411765,"Firmicutes","Clostridia","Lachnospirales","uncultured","uncultured"
"4fc4172d3dbb80d836d242726d97e17c","Low",0.765747412756861,0.001,0.0132823529411765,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"28601c205ded8137cb4eb807af79e7f8","Low",0.758990983917667,0.001,0.0132823529411765,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",""
"770d3f50dccf0cbcde3f94868ee5956c","High",0.757960847229735,0.001,0.0132823529411765,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Anaerospora"
"5e086f9ab89d19f23892e0083d1acd39","High",0.723305560621812,0.001,0.0132823529411765,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",""
"5a1d2c773560cfe73a136aefda41fcf3","High",0.719273913125194,0.001,0.0132823529411765,"Firmicutes","Negativicutes","uncultured","uncultured","uncultured"
"803719094227b34fcc7bf69527d85ab5","High",0.717698527136651,0.001,0.0132823529411765,"Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae",""
"cc411d0f7e715d25df064a36772b1ca9","High",0.707106781186548,0.001,0.0132823529411765,"Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",""
