"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"be52b7dbb461d608bdc1388d48932d01","Dry",0.996277814829025,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"7abafefc6a26dc0f4a5e927efe282187","Wet",0.986255107160444,0.001,0.005671875,"Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41"
"4fc4172d3dbb80d836d242726d97e17c","Dry",0.979496582452745,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"a5c7a67826a19f8f3856301c29b3a8a4","Wet",0.979046914361922,0.001,0.005671875,"Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella"
"0adf7661e5c9a60f6253b3306ec40028","Dry",0.974890566165211,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"affc2ac2edb78f316243b0e74a694d53","Dry",0.965149074403872,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"73f37d6909c1c14c6205abddc6262d17","Wet",0.954668741010876,0.001,0.005671875,"Bacteroidota","Bacteroidia","","",""
"5e21eaa528d616566553dc7238f463e5","Dry",0.949283939816492,0.001,0.005671875,"Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",""
"1bb4402bc80b4f6621e91f3e94fbd9dd","Dry",0.942768159253121,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"61ca977f94c6c2c945a7f152d4c94f56","Dry",0.942364193691504,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",""
"5f84aa1b074be2ffafa806b1b8e491dc","Dry",0.937142283572317,0.001,0.005671875,"Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured"
"8d2d97e08954fe18708cb2dc79907f5e","Dry",0.9357863328202,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"87df14efae8b75990eaf7c2785573afd","Wet",0.934455203008821,0.001,0.005671875,"Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",""
"62c3d76fbba7f11b6d6b390ffd44ec2c","Dry",0.933804309190117,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"3747b2acb8a994ba20ced42ece796aa3","Dry",0.92746228973181,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"fb9ca6958fb352cf1033b5bf6f5b8219","Wet",0.925762177226279,0.001,0.005671875,"Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"0a8d9d136562124ee22e88a97a95f770","Dry",0.924158689187301,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"64bfd0c279fe32a164a3dad94845ee9f","Wet",0.920705942177547,0.001,0.005671875,"Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"3e9135265ed0b72f51f7bb228dbbc086","Dry",0.90748521297303,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces"
"5de3df6e0d00086a246af6b66ce62ec1","Dry",0.907397266946451,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"2dedeafb50e2443de34ef467e55a2668","Dry",0.90530598563428,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"993def4ffdf08f1ef723d7f1283b89be","Dry",0.900684324012191,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"fccd5b7afe391870624505cf6472e0b1","Wet",0.900070320740819,0.001,0.005671875,"Firmicutes","Negativicutes","uncultured","uncultured","uncultured"
"1b6ac0d1e89f84b91518c11bd5ad9ae9","Dry",0.894393886071369,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"523a168ba5dd565806c2258628c3ef86","Wet",0.885895099084693,0.001,0.005671875,"Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"aa1edb048e8a552bd6062781e1ee219b","Dry",0.885614885540095,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"b0d8755a6d7adca0e6b489ded144b01b","Dry",0.885614885540095,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"38c7205f0c1c491546cf9cc24d6d9e3b","Dry",0.883410231966487,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"518e3c834a5ccfc8b00402172f29b6bc","Dry",0.876914568912614,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium"
"e7a35f998c29ffe184c7783a5822e690","Dry",0.875989665308806,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"15d9f6ea0063fad89944bf9b7ee391d4","Dry",0.875222910842107,0.001,0.005671875,"Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea"
"6707ffd6822e7aec4605e5ddd9c5de86","Dry",0.873244827829307,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"655e1063e865bcc692557ce6a0e75f77","Dry",0.873032533658444,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium"
"6b313942075b92a6bbbfd7dbd1ab9301","Wet",0.869594728598884,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",""
"265526041833b65b61f2188929515cef","Wet",0.869406505606283,0.001,0.005671875,"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"2e2f5a6ef114389a4d44565174c67ed3","Dry",0.869012609941083,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",""
"7061e68888c2906619e7cb18c6bd3d1a","Wet",0.864196414617635,0.001,0.005671875,"Bacteroidota","Bacteroidia","Bacteroidales","",""
"add5610066292b5cc99760e9bf8482cb","Dry",0.857203593664141,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"f86e6ee4439dc421acc01cc75288a007","Wet",0.856205382291302,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12"
"b943f6d8803e5b8d954ff7cf992d3ad5","Dry",0.854435315876537,0.001,0.005671875,"Actinobacteriota","Actinobacteria","","",""
"b7d0ff85254affc35a2ba02e9da96fbf","Dry",0.854222174440221,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",""
"e128078f8ac19e17a42639aa2736dd8f","Wet",0.854033133128813,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","A0839"
"e8820a8b0ccb14b286019c21e8bfcf00","Wet",0.848525017566579,0.001,0.005671875,"Firmicutes","Bacilli","Bacillales","",""
"72d4a11d336b04e2f5a5875c90c55c32","Wet",0.847036704558533,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"8d1ed418b92167e67ff4d759d752cbd4","Dry",0.846763884482713,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"0ee659e8c51298b4bc8082ec93ec5a20","Dry",0.846651905855943,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"415d711b5006b4895e4539d6c3c99573","Dry",0.846369453881354,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"c6810f6a61416008dc63ebe0d4a089cc","Dry",0.844522149600107,0.001,0.005671875,"Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",""
"1885c0af2dd33e310cd16b229b34ce36","Wet",0.843925962328707,0.001,0.005671875,"Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured"
"df3d7ca4042495b9ae826931357f3db7","Dry",0.843326463670637,0.001,0.005671875,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured"
"1d821f579d8bf84064df650ad2dbe5ee","Dry",0.838003566679175,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"9ab10dfc051133e224adbf87e5d884a4","Dry",0.837944860769009,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ce03f7dd3b3f5a575df8d0dc49bf5b8b","Dry",0.837649239711559,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"88c93036ce62195c607c4855ffb41b3c","Dry",0.837135466879936,0.001,0.005671875,"Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
"88a4f77ceed227aca8713f850170e1c6","Wet",0.836502247656822,0.001,0.005671875,"Firmicutes","Bacilli","Bacillales","Planococcaceae",""
"28601c205ded8137cb4eb807af79e7f8","Dry",0.834380310516233,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",""
"89a7538b0eb2e0a2e7293c2c2b758600","Dry",0.833821683795609,0.001,0.005671875,"Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",""
"69b8062245180851e182a8da2e5677af","Dry",0.833601593012869,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","uncultured"
"2e136fd4b28d4670f467d18c094b74de","Wet",0.83000568232979,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","","",""
"e7ac3a90fde32f2614a032f543d8098d","Wet",0.82984521865294,0.001,0.005671875,"Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8"
"f442ee6210ae3d73dc495d4ebef03e8e","Wet",0.829673069867268,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"071601510cabc8698cc552aa2114ea9e","Wet",0.827579326874333,0.001,0.005671875,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"bb1f91cc6d10307e3d8fc9ebba333cfd","Dry",0.824912031476993,0.001,0.005671875,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"c0fc672c472db289d116f3d1c424407a","Wet",0.823673372303791,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"07d62bf8e1f9162673cd90a83d3e077c","Dry",0.821238243850127,0.001,0.005671875,"Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured"
