"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"3c14a8a1e28daa79d99e106ecb289442","Dry",0.924753961219714,0.001,0.00719047619047619,"Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella"
"317ab06e76386341df8ccc9e5264f7c4","Wet",0.908395409810727,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria"
"5bc8cc40acb097968bfdab22d8c2b14b","Dry",0.899880391702772,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea"
"d6f62f9a9f62ae49c42ac211013988a1","Wet",0.882113408833393,0.001,0.00719047619047619,"Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Tetracladium"
"c53263afb3997ba6928ad5b667b3965f","Dry",0.853855551501544,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea"
"cf49190863c67052e294bc560608f15d","Wet",0.841938691053969,0.001,0.00719047619047619,"Ascomycota","","","",""
"feb1f0d07662c56d349c16dd3d1ccd36","Wet",0.835574523943466,0.001,0.00719047619047619,"Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotryaceae_gen_Incertae_sedis"
"17eabac57ca10bedc508075c64bf7b42","Wet",0.822475928735925,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria"
"3a71f3f5d62492c4956b235ed665909a","Dry",0.813502607421367,0.001,0.00719047619047619,"Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria"
"7f82625af8c2b65c4a1bb7b20368750d","Dry",0.782334929381391,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea"
"2b03aae15f42b53ba1384634d08cb6cb","Wet",0.768586852053201,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Biappendiculispora"
"9815323791c79fcc08cfdda32af84541","Dry",0.754618193804032,0.001,0.00719047619047619,"Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora"
