"ASV","rho","Domain","Phylum","Class","Order","Family","Genus","PCoA1_end"
"5eeaf06d4d2579816f65cf04240b033d",0.716091153604958,"Bacteria","Firmicutes","Limnochordia","Limnochordia","Limnochordia","Hydrogenispora","High_PCoA1"
"523a168ba5dd565806c2258628c3ef86",0.791251655470898,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","High_PCoA1"
"5a1d2c773560cfe73a136aefda41fcf3",0.753998852021225,"Bacteria","Firmicutes","Negativicutes","uncultured","uncultured","uncultured","High_PCoA1"
"fccd5b7afe391870624505cf6472e0b1",0.903446270695185,"Bacteria","Firmicutes","Negativicutes","uncultured","uncultured","uncultured","High_PCoA1"
"7472b11dc4f888bee467d40f517b2d0d",0.725856879641636,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax","High_PCoA1"
"67b46a64012f33268bc65528c58ec6e2",0.780329769235392,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Alterococcus","High_PCoA1"
"3766392dc136aeaae38cf3d3d34316fe",0.709007362212755,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","","High_PCoA1"
"3687ca589616104152f29656ba67211f",0.758413396975218,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","","High_PCoA1"
"f875dbaefe25e3c30bf8293d425b7923",0.747739859791474,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","High_PCoA1"
"7abafefc6a26dc0f4a5e927efe282187",0.745512323469801,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","High_PCoA1"
"ba4f516127f3854374b8d5fbf2b70c36",0.700873805614719,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","High_PCoA1"
"7061e68888c2906619e7cb18c6bd3d1a",0.867310853404688,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","High_PCoA1"
"4e45842e08a16aba13308e57e1f01085",0.803179533311189,"Bacteria","Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41","High_PCoA1"
"8ae24d4aad66a96eea764c0a98abd2d7",0.726138262047221,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","","High_PCoA1"
"02195c1465dbcc5aecc0ad8123b70b10",0.711617199800334,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum","High_PCoA1"
"cc411d0f7e715d25df064a36772b1ca9",0.714738838764386,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","","High_PCoA1"
