"ASV","rho","Kingdom","Phylum","Class","Order","Family","Genus","Species","PCoA1_end"
"5bc8cc40acb097968bfdab22d8c2b14b",0.693465557013925,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea_alpha","High_PCoA1"
"3c14a8a1e28daa79d99e106ecb289442",0.625901200280299,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella","Dactylella_sp","High_PCoA1"
"c53263afb3997ba6928ad5b667b3965f",0.716234170709245,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea_sp","High_PCoA1"
"2485b960da2f4d05af5d0ccc27274958",0.667139878373634,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria","Apiosordaria_sp","High_PCoA1"
"3b69566a20b2a0a23f8255b3c9ccb1c5",0.693797033719387,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","","High_PCoA1"
"2b03aae15f42b53ba1384634d08cb6cb",-0.634422422040223,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Biappendiculispora","Biappendiculispora_sp","Low_PCoA1"
"cf49190863c67052e294bc560608f15d",-0.697312491210976,"Fungi","Ascomycota","","","","","","Low_PCoA1"
"e3ac9f3a8e9420c5646705867fdd9409",-0.761807345906707,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","","Low_PCoA1"
"317ab06e76386341df8ccc9e5264f7c4",-0.758694908399933,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria","Pseudomassariosphaeria_bromicola","Low_PCoA1"
"d6f62f9a9f62ae49c42ac211013988a1",-0.68863455037096,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Tetracladium","Tetracladium_sp","Low_PCoA1"
"17eabac57ca10bedc508075c64bf7b42",-0.665534903575825,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria","Pseudomassariosphaeria_bromicola","Low_PCoA1"
