"ASV","rho","Domain","Phylum","Class","Order","Family","Genus"
"5016fe2f4055a08510bc7ae658d794d4",0.0763660848987008,"Bacteria","Actinobacteriota","MB-A2-108","MB-A2-108","MB-A2-108","MB-A2-108"
"b72832bd7136ab94b73ef3a2c8722ed2",0.20745020251819,"Bacteria","Proteobacteria","Alphaproteobacteria","","",""
"0a0fb822a862796a3c317d7a32773988",0.681017472016846,"Bacteria","Firmicutes","Clostridia","Clostridia","Gracilibacteraceae",""
"e4ff4bae8b90d1d3c6ea1f76b61b1a76",-0.0809629789050484,"Bacteria","","","","",""
"7b4d177b554234beba84a74ef01095c5",0.0942336288868965,"Bacteria","Actinobacteriota","Acidimicrobiia","","",""
"b6ee5fa149fd2d7ec05aa1cbb9e105f7",-0.0421742600388677,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Zavarzinella"
"c5618225c27ab8c76c018da804d4a3f7",0.153780342485605,"Bacteria","Myxococcota","Polyangia","Blfdi19","Blfdi19","Blfdi19"
"e6c112ce6b4f2810442374a04b1e3d44",0.0553185710843148,"Bacteria","Chloroflexi","KD4-96","KD4-96","KD4-96","KD4-96"
"efe10eaaad8dc4007b97df146d73b489",0.226475776408719,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"71c1b0c0525dd3887b8d67c842f6faaf",-0.132985500806411,"Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","AKIW781"
"f97dcb4f29ed7b02e7779f59ebc60f58",-0.0553185710843148,"Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Entotheonellaceae"
"973ed3d368d5942dc26db71d86ef2076",0.266681285562641,"Bacteria","Firmicutes","Bacilli","Entomoplasmatales","type_III","type_III"
"d826264f4f45908d16bd02fba816a6de",0.133047587437525,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",""
"2708c3f0976fd0744c98b5f13bd4d25a",-0.0794059459318301,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",""
"2eb0ccf3a7b3ba90d990bf16757a11d4",0.171227495757803,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured"
"8fe3ddc747661bf4b6ac112d5279b969",0.470675956862476,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"92c72915a033a92b17cda6050aa99ad6",0.106560297031539,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria"
"4a9093701cca1784648cc7870a5e4cb3",0.0637534230920883,"Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11"
"98e6b350b4ed99edd695156a4197ae4a",0.214044826151322,"Bacteria","Patescibacteria","Parcubacteria","","",""
"708c4ad4d2a32b8c06ddf48eb9ce0f24",0.157942603845559,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales"
"6707ffd6822e7aec4605e5ddd9c5de86",-0.604047447849547,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"2d7337e6ba1ccc41bd852e93884aa52c",-0.175328866521798,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"3a56f797a018f6fa649958da3ef501b7",0.179845030075883,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"e7eb1b5067532444a5503e007396db16",-0.401529075516384,"Bacteria","","","","",""
"dfbd2e52051aa23a5fac72a5ba2ba6a8",0.00211466129329766,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"63fc831391aa1dd3869e7bb5255dd164",0.215199945238412,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"f5b37a934144ce5682c0b987fa4f5715",0.141628046414907,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"5eeaf06d4d2579816f65cf04240b033d",0.716091153604958,"Bacteria","Firmicutes","Limnochordia","Limnochordia","Limnochordia","Hydrogenispora"
"20b982f2e86698725ebaae010a9a87b7",0.239374515813434,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"8756301b9539772c6e720d216d06a544",0.124752434130546,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8"
"0e540a60557a4420e97f720801af8e0e",-0.0414522509061234,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured"
"8d45dc1a1d992eb51feb361babe3c071",-0.175568421720929,"Bacteria","Firmicutes","Bacilli","Entomoplasmatales","type_III","type_III"
"28d650e99576b763622c543e38701034",-0.213047749079588,"Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria"
"7bf25520a505494c383424a1e8cf9247",0.155794174072474,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","uncultured"
"478b950e9c18d542c25081c4f4f637f8",0.192310888472239,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloronema"
"abf4c1be803f71d9d679089b1270c0ba",-0.0132848919122433,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
"28cfbf7f14b9fe5104abc4384b9d3ff0",0.0364807349336205,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured"
"72d4a11d336b04e2f5a5875c90c55c32",0.687769249495443,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"e8ed2cab87aaf1425929b9b0206b4f29",0.2072702041679,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",""
"f859bd43c33aad09b3dea2a9a59b5ecb",0.450220782796396,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured"
"78d5de6a057aa046675c2df4391e14a3",-0.110597436018673,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","uncultured","uncultured"
"5d6a9dee917ab52f7cb0ef97932fbcf3",-0.0385367170138593,"Bacteria","Planctomycetota","","","",""
"963549b12ae6dd8044904806a0e9e2c1",0.468252299624323,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"3a87c0252ec14fdf86191e0fe373060a",0.0853325861453089,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae"
"9da67c17405cb110969eb012de21acc0",-0.643318365220846,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured"
"ff694bf06e6c1408db8a4dd955a60686",0.0889876886820108,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Unknown_Family"
"484cdaa5079e830980cae892b2e28b5f",-0.51400757876504,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
