"ASV","rho","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"64c4c7745e7b17652dfc185a61d02df3",-0.0635594570860024,"Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Tricellula","Tricellula_sp"
"a454bc7fbf4df385001f5648685701b7",-0.0429474548062469,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus_sp"
"5a8e0f18e7d6dca292cc44c99abc07c0",-0.195337114413355,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotryaceae_gen_Incertae_sedis","Stachybotryaceae_sp"
"7ee7f26f1afb97219f3362d5cdc11285",-0.0868086852466693,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_funiculata"
"88c50c2510e16178ce7229b40bcaf5ce",0.0226625063579092,"Fungi","","","","","",""
"4a2b73aa59663378f8fa68e1919809ad",-0.045477910408579,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp"
"3bd99dc056ed5bbaee884b763b12bde3",0.0435097782734318,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","",""
"6d837318cd75c2b9e8f5d0a1cc91c5f3",-0.44329321846656,"Fungi","Chytridiomycota","Chytridiomycetes","Chytridiomycetes_ord_Incertae_sedis","Chytridiomycetes_fam_Incertae_sedis","Olpidiaster","Olpidiaster_brassicae"
"b38af7f1359407cce495f891352be1c0",0.20213798852192,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizales_fam_Incertae_sedis","Pezizales_gen_Incertae_sedis","Pezizales_sp"
"2d783fc0a24c9350fd6e4c008ade61f1",0.225755911975938,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_raistrickii"
"6a96695bd5f30d731a7a7496af3ab47e",-0.233732886016067,"Fungi","Basidiomycota","Agaricomycetes","","","",""
"ac1ceae3d25b326d8a2674141b904822",-0.100864263009925,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria_robusta"
"10cd0dd5b27c5c530de08904bde367ac",-0.162150885272638,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_embellisia"
"ad2fdd3a85b0f868191173d0b0695c73",-0.231906143867447,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cistella","Cistella_sp"
"c06dca33c44e80a63c82e75b5be8cd86",0.386688896042849,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus_sp"
"a9b54be2960f57595914b1efee00b138",-0.281027763920752,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys_koreensis"
"72c6b23e6e129982fa5ccb88e7ba3a8a",-0.0410496131044979,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",""
"ef46ec73099347722cf91ff1bee30049",0.302672355568327,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella","Dactylella_sp"
"cd3620da2110e5d964907734ce6f9e5e",-0.0730442168331401,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","",""
"c77d168d454c013c802a4ada5ebe5d79",-0.0996015441251258,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta","Pyrenochaeta_sp"
"8b2aa9ea4055195a327daa90f1c07c5f",-0.331736532407924,"Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"a92bcb622bb266d15498da179ff4c743",-0.0482895277445035,"Fungi","Ascomycota","Dothideomycetes","","","",""
"5973b73885a45ec80b9c9714b4435431",0.258830138771919,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Harposporium",""
"82118b570006060cacb06b33a0751781",0.0884280344717904,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",""
"8ce08f5a63c413f35a5b3759cf6f2992",-0.181102427970434,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma_buxi"
"9f557d40df35f0c0978091b17fcdc777",-0.192182052681334,"Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Spermospora","Spermospora_zeae"
"7eae6ed747bedc6a47572a190aa5770f",0.111601279730873,"Fungi","Ascomycota","","","","",""
"1cbd4a8a7e037e6ea3baacc10ac6e08e",-0.153795468275071,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_chernovii"
"2a19ee960c01e8eb74e7670853109519",-0.107397553966066,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentitheciaceae_gen_Incertae_sedis","Lentitheciaceae_sp"
"354e5fc49cc596c5273cf06ab393994c",-0.237260772032819,"Fungi","Basidiomycota","Agaricomycetes","","","",""
"e3ba9a52c9e63ed40148a3757005031e",0.184608240023788,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Hemimycena","Hemimycena_subimmaculata"
"1f13d9ba378e414ce2708e7cab16dd53",-0.246719421227376,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_sp"
"aa52e53101323b1d05f8c4c6834dd1e2",0.0860729958093732,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",""
"ae93ea83ac38a66335d56cee3b7ac634",0.120407512410967,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae"
"db54a1e37e9d413560690921568662ba",-0.150070075304971,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_fam_Incertae_sedis","Calyptella","Calyptella_sp"
"05103bd02bf280ace3334412ea9d5e45",0.0121383750547015,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Achroiostachys",""
"211ab004af877395e2d7d1048dd4fa67",-0.173475613377016,"Fungi","Ascomycota","Sordariomycetes","Savoryellales","Savoryellaceae","Savoryella","Savoryella_sp"
"b7e7581148b58c10a03bf40ebda79641",-0.220301881410084,"Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"29a8dbf33dd842382f811771519c2e71",-0.160836078395061,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_nimbosa"
"6a0e3aee96bfc2772cd53575935a9820",-0.279891914683006,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",""
"2b03aae15f42b53ba1384634d08cb6cb",-0.634422422040223,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Biappendiculispora","Biappendiculispora_sp"
"dd53217d6ff6f4c5eef8dd17874c8999",-0.153299548212709,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora_sp"
"7d727a428792fb6a09e8f220cbaca0aa",-0.0278181063315443,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Testudinaceae","Testudinaceae_gen_Incertae_sedis","Testudinaceae_sp"
"84f6998f9b93aef37ee9f2ca8995f0cd",-0.246093838192866,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_lapis"
"34752cd6e43ebc50e7dcf3a6ee83722e",-0.398878907698908,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella_plurivora"
"9a13cde63c6bf8c523f4f6898b7ce61b",-0.0964384746222107,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_heimaeyensis"
"b2a05089fbfba1cd8284d72886e80ce3",-0.0601686109887845,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_sp"
"919c4c9bffb11939b73c5738951d4428",0.0624130389171416,"Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"3494bf92fca823401051bcff92fd1bed",-0.179802928632373,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Dissoconiaceae","Dissoconium",""
"420f4b9d5d4c17478df07d728e3e9188",0.132613134757237,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Hemimycena","Hemimycena_subimmaculata"
"177eb91c8a0b93f4ccb1cf1b60c75c71",-0.313390781252975,"Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"2a6b98415a5e77c9d0ec58b723c69843",0.0962649624569884,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Hypocreales_gen_Incertae_sedis","Hypocreales_sp"
"694afa72da35208b93d6307d0afcc1d8",0.0173628111071732,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Testudinaceae","Testudinaceae_gen_Incertae_sedis","Testudinaceae_sp"
"22fa5b7d50ebda43e46f0dd9ac56e656",0.183421408034136,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiaceae_gen_Incertae_sedis","Sporormiaceae_sp"
"4fdabc2187e40177e9d481e58e6f8e65",-0.0626287761577185,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_roseopurpureum"
"94f2cd3c6f34e577e081654cee2f2c96",-0.291372585046494,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","",""
"3ba4a04814377facbfa819d2e5175463",-0.275505358078373,"Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"dfb6d38195f44945c16106c58268d49d",0.148608066373539,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina"
"41f99f95cd2352dcba43e38f3681cc47",0.0229031692987783,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","Leohumicola_sp"
"a9dbbcc83ad2537b4872125055400f7d",0.0258927967964531,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",""
"ef0ec794d389586326dd3f1da875035f",-0.0721921261424565,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","","",""
"f3f2771cd358d2e061667c8b206c444b",-0.395658257327938,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotryaceae_gen_Incertae_sedis","Stachybotryaceae_sp"
"363897ce7311b1ec4d318aa94bd02293",0.194436829325229,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_terricola"
"fdb0d4aa1d2c914f92d1d933d0d07664",0.0140991970017957,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria","Apiosordaria_sp"
"42551b4639aff66a99540d847c077369",-0.124627528068504,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium",""
"8efd5c16c20117e065b270a2c671b98f",-0.357830925319459,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Tetracladium","Tetracladium_sp"
"6a68c24698211d69cd420e0aa0c773c7",-0.175294553619357,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_floriforme"
"80ae0d452c3649b08e308c50d2981319",-0.117385023774848,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_psychrotolerans"
