"Dataset","Pot","Intensity","Frequency","Composition","PCoA1","PCoA2"
"Bacteria","Pot-1","Wet","Low","Conspecific",0.0544894397113831,-0.155972222653479
"Bacteria","Pot-10","Wet","Low","Conspecific",0.127412990115424,-0.116889632042525
"Bacteria","Pot-114","Dry","High","Heterospecific",-0.224910581689943,0.0378270219058675
"Bacteria","Pot-117","Dry","High","Heterospecific",-0.337093537844123,0.106803085901839
"Bacteria","Pot-119","Dry","High","Heterospecific",-0.326714617550487,0.103935226423462
"Bacteria","Pot-2","Wet","Low","Conspecific",0.128536706619538,0.0104007095631677
"Bacteria","Pot-21","Wet","Low","Heterospecific",0.157214619598041,-0.152845346803913
"Bacteria","Pot-22","Wet","Low","Heterospecific",0.144786985489584,-0.128577824850719
"Bacteria","Pot-23","Wet","Low","Heterospecific",0.0730141649715762,-0.205038759986607
"Bacteria","Pot-24","Wet","Low","Heterospecific",0.145452787275437,-0.208682063592084
"Bacteria","Pot-25","Wet","Low","Heterospecific",0.117426007073602,-0.174350823095986
"Bacteria","Pot-26","Wet","Low","Heterospecific",0.066778408053413,-0.169291067901159
"Bacteria","Pot-27","Wet","Low","Heterospecific",0.146757720115682,-0.0380738772597644
"Bacteria","Pot-28","Wet","Low","Heterospecific",0.139283091186693,-0.130977579860553
"Bacteria","Pot-29","Wet","Low","Heterospecific",0.161393094427658,-0.0841065165422983
"Bacteria","Pot-3","Wet","Low","Conspecific",0.0960766928951253,-0.209700204377724
"Bacteria","Pot-30","Wet","Low","Heterospecific",0.149908974530187,-0.133574582237208
"Bacteria","Pot-31","Wet","High","Conspecific",0.185786652079301,-0.1751036580499
"Bacteria","Pot-32","Wet","High","Conspecific",0.326059553447689,0.305788293528108
"Bacteria","Pot-33","Wet","High","Conspecific",0.345555004744386,0.432274280433847
"Bacteria","Pot-34","Wet","High","Conspecific",0.116638848551567,-0.0201437833966502
"Bacteria","Pot-35","Wet","High","Conspecific",0.363916464055231,0.379043489963536
"Bacteria","Pot-36","Wet","High","Conspecific",0.284352064050787,0.124800637781043
"Bacteria","Pot-37","Wet","High","Conspecific",0.332001398739412,0.177541219047572
"Bacteria","Pot-38","Wet","High","Conspecific",0.289628365721135,0.0262976656065309
"Bacteria","Pot-39","Wet","High","Conspecific",0.362203279269977,0.37998021541447
"Bacteria","Pot-4","Wet","Low","Conspecific",0.118058274982496,-0.230615430286464
"Bacteria","Pot-40","Wet","High","Conspecific",0.342123120619605,0.177930809079056
"Bacteria","Pot-5","Wet","Low","Conspecific",0.0830188577560618,-0.20747388196752
"Bacteria","Pot-51","Wet","High","Heterospecific",0.267129684548991,0.11208496506249
"Bacteria","Pot-52","Wet","High","Heterospecific",0.255009594051229,-0.0592433044593226
"Bacteria","Pot-53","Wet","High","Heterospecific",0.191457742865397,-0.0873971938945765
