"Dataset","Pot","Intensity","Frequency","Composition","PCoA1","PCoA2"
"Fungi","Pot-1","Wet","Low","Conspecific",-0.083860278049816,-0.139309336256075
"Fungi","Pot-10","Wet","Low","Conspecific",-0.263880009642673,-0.327580977165094
"Fungi","Pot-114","Dry","High","Heterospecific",0.282317284094304,0.00496861597077341
"Fungi","Pot-117","Dry","High","Heterospecific",0.239483906749616,0.0625092296368428
"Fungi","Pot-119","Dry","High","Heterospecific",0.261317537851227,0.0500674867332902
"Fungi","Pot-2","Wet","Low","Conspecific",0.0571486726867964,-0.179873646722603
"Fungi","Pot-21","Wet","Low","Heterospecific",-0.234709776190953,0.144978075144094
"Fungi","Pot-22","Wet","Low","Heterospecific",-0.281655794588962,0.151046120030316
"Fungi","Pot-23","Wet","Low","Heterospecific",-0.196481716343948,-0.335267533406908
"Fungi","Pot-24","Wet","Low","Heterospecific",-0.383639297486651,-0.165929874161198
"Fungi","Pot-25","Wet","Low","Heterospecific",-0.392396192176408,-0.0111759333918459
"Fungi","Pot-26","Wet","Low","Heterospecific",-0.371281725384001,-0.199206506777759
"Fungi","Pot-27","Wet","Low","Heterospecific",-0.210015265378023,0.222027892959787
"Fungi","Pot-28","Wet","Low","Heterospecific",-0.139762103558325,-0.0445773748250436
"Fungi","Pot-29","Wet","Low","Heterospecific",-0.139294019006861,0.0676442920513725
"Fungi","Pot-3","Wet","Low","Conspecific",-0.193808949010723,0.066837643138655
"Fungi","Pot-30","Wet","Low","Heterospecific",-0.363084098717888,0.18339256563154
"Fungi","Pot-31","Wet","High","Conspecific",-0.220169071824836,-0.0973128550183223
"Fungi","Pot-32","Wet","High","Conspecific",-0.350479333804075,0.218529661554919
"Fungi","Pot-33","Wet","High","Conspecific",-0.169999325986922,0.0595936549247498
"Fungi","Pot-34","Wet","High","Conspecific",-0.255057527538535,0.228209325459332
"Fungi","Pot-35","Wet","High","Conspecific",0.188235970228634,0.149649134719865
"Fungi","Pot-36","Wet","High","Conspecific",-0.211603590458159,0.25880297255278
"Fungi","Pot-37","Wet","High","Conspecific",-0.408208184542875,0.0670815028140196
"Fungi","Pot-38","Wet","High","Conspecific",-0.235461791434766,-0.167528981673483
"Fungi","Pot-39","Wet","High","Conspecific",-0.00376943642718666,0.189874343518676
"Fungi","Pot-4","Wet","Low","Conspecific",0.0456003443130684,-0.492464519303927
"Fungi","Pot-40","Wet","High","Conspecific",-0.262767088705513,-0.305329909667715
"Fungi","Pot-5","Wet","Low","Conspecific",0.0273066507320479,-0.41320975777286
"Fungi","Pot-51","Wet","High","Heterospecific",-0.299104880440222,-0.0797119774538129
"Fungi","Pot-52","Wet","High","Heterospecific",-0.338678023220558,0.096892124955206
"Fungi","Pot-53","Wet","High","Heterospecific",-0.263436188537073,0.147087074269255
"Fungi","Pot-54","Wet","High","Heterospecific",-0.183086281379413,-0.0754509680513198
"Fungi","Pot-55","Wet","High","Heterospecific",-0.32026578656694,0.0779450094236796
"Fungi","Pot-56","Wet","High","Heterospecific",-0.114502863545544,-0.244508865927702
"Fungi","Pot-57","Wet","High","Heterospecific",-0.231699399236836,-0.0837312037863805
"Fungi","Pot-58","Wet","High","Heterospecific",-0.261063790011354,0.154670666523699
"Fungi","Pot-59","Wet","High","Heterospecific",-0.016617404912222,0.236800237212585
"Fungi","Pot-6","Wet","Low","Conspecific",-0.210041561066763,0.0341936338310568
"Fungi","Pot-60","Wet","High","Heterospecific",-0.259985562431056,0.229244366355505
"Fungi","Pot-61","Dry","Low","Conspecific",0.376815960212013,-0.0596316638145146
"Fungi","Pot-62","Dry","Low","Conspecific",0.32260907187996,0.20983301860652
"Fungi","Pot-63","Dry","Low","Conspecific",0.164531275823162,-0.0533514579099312
"Fungi","Pot-64","Dry","Low","Conspecific",0.19750553695782,-0.0120241530450636
"Fungi","Pot-65","Dry","Low","Conspecific",0.287283313671234,-0.0195933939924809
"Fungi","Pot-66","Dry","Low","Conspecific",0.387784320456527,0.0549391366254409
"Fungi","Pot-67","Dry","Low","Conspecific",0.326691963997802,0.127628824490428
"Fungi","Pot-68","Dry","Low","Conspecific",0.415504800082475,-0.129239372124362
"Fungi","Pot-69","Dry","Low","Conspecific",0.408868554848763,-0.0819174157831478
"Fungi","Pot-7","Wet","Low","Conspecific",-0.0155910129801829,0.0413341791679827
"Fungi","Pot-70","Dry","Low","Conspecific",0.393205442259567,-0.0605178472740012
"Fungi","Pot-8","Wet","Low","Conspecific",-0.257187641211616,-0.0440240185702319
"Fungi","Pot-81","Dry","Low","Heterospecific",0.216667119563017,-0.0726708407744629
"Fungi","Pot-82","Dry","Low","Heterospecific",0.466606382768303,-0.00759930496767735
"Fungi","Pot-83","Dry","Low","Heterospecific",0.36588607147278,-0.176158667878467
"Fungi","Pot-84","Dry","Low","Heterospecific",0.346706079500927,0.0160494164855156
"Fungi","Pot-85","Dry","Low","Heterospecific",0.272367089363708,0.178547047851783
"Fungi","Pot-86","Dry","Low","Heterospecific",0.290742865999474,0.0656596787215705
"Fungi","Pot-87","Dry","Low","Heterospecific",0.29517761067737,-0.0606082776881003
"Fungi","Pot-88","Dry","Low","Heterospecific",0.162023443707144,0.102330318748089
"Fungi","Pot-89","Dry","Low","Heterospecific",0.266494102004816,0.159566293639079
"Fungi","Pot-9","Wet","Low","Conspecific",-0.247629117402546,-0.0838732316708779
"Fungi","Pot-90","Dry","Low","Heterospecific",0.292103539376976,0.122849009683302
"Fungi","Pot-96","Dry","High","Conspecific",0.400239251430855,0.0812135185823639
"Fungi","Pot-97","Dry","High","Conspecific",0.19457589148374,-0.00602638040867401
"Fungi","Pot-98","Dry","High","Conspecific",0.438474035006298,-0.0325898247500356
