"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"10WLC1B",0.124619769296551,0.0939210130343595,"Pot-10","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"10WLC2B",0.120217510923783,0.0466354236647542,"Pot-10","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"114DHH1B",-0.200014212919712,-0.0497585032858342,"Pot-114","Dry","High","Heterospecific",1,"Bacteria","Bacteria"
"114DHH2B",-0.209814765123057,-0.0287514289515648,"Pot-114","Dry","High","Heterospecific",2,"Bacteria","Bacteria"
"117DHH1B",-0.307281948987657,-0.101835679946939,"Pot-117","Dry","High","Heterospecific",1,"Bacteria","Bacteria"
"117DHH2B",-0.308057447701041,-0.131840629688024,"Pot-117","Dry","High","Heterospecific",2,"Bacteria","Bacteria"
"119DHH1B",-0.342352782641578,-0.143275396841025,"Pot-119","Dry","High","Heterospecific",1,"Bacteria","Bacteria"
"119DHH2B",-0.273931487666294,-0.10095362404532,"Pot-119","Dry","High","Heterospecific",2,"Bacteria","Bacteria"
"1WLC1B",0.0401618417166479,0.143148962962754,"Pot-1","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"1WLC2B",0.0629761717488255,0.111429764946915,"Pot-1","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"21WLH1B",0.112338248564505,0.11965338143389,"Pot-21","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"21WLH2B",0.173992333087459,0.133947729169002,"Pot-21","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"22WLH1B",0.172916782823409,0.06654429490916,"Pot-22","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"22WLH2B",0.081082500289526,0.185526510419823,"Pot-22","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"23WLH1B",0.0675165158895596,0.233653239186544,"Pot-23","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"23WLH2B",0.0677702074981509,0.169797164220747,"Pot-23","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"24WLH1B",0.0765628741547104,0.219003164079071,"Pot-24","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"24WLH2B",0.163046021092623,0.224669316698504,"Pot-24","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"25WLH1B",0.116777695212628,0.215933218560642,"Pot-25","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"25WLH2B",0.0988610335215109,0.154698821360724,"Pot-25","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"26WLH1B",0.0478799234187143,0.170965405015579,"Pot-26","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"26WLH2B",0.0847056246468479,0.227099657382742,"Pot-26","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"27WLH1B",0.156319463549868,0.0699006294680092,"Pot-27","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"28WLH1B",0.0979122743660144,0.158921712003769,"Pot-28","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"28WLH2B",0.115733429652841,0.0404622994930736,"Pot-28","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"29WLH1B",0.111360907651576,0.0998895111475905,"Pot-29","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"29WLH2B",0.160551470291073,0.0628318012684176,"Pot-29","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"2WLC1B",0.144054949619483,-0.0461209102457305,"Pot-2","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"2WLC2B",0.125602935339467,0.00935352644109571,"Pot-2","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"30WLH1B",0.140988327815642,0.0999584549768902,"Pot-30","Wet","Low","Heterospecific",1,"Bacteria","Bacteria"
"30WLH2B",0.137585747985776,0.191034905494359,"Pot-30","Wet","Low","Heterospecific",2,"Bacteria","Bacteria"
"31WHC1B",0.164920069960218,0.146867852671189,"Pot-31","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"31WHC2B",0.161958077107306,0.167089490399917,"Pot-31","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"32WHC1B",0.381165829486418,-0.403060952910527,"Pot-32","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"32WHC2B",0.271264568602035,-0.151238465321658,"Pot-32","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"33WHC1B",0.359774361397149,-0.407468771138775,"Pot-33","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"33WHC2B",0.358829098825191,-0.38976112075764,"Pot-33","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"34WHC1B",0.0926863332364655,0.043770430398309,"Pot-34","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"34WHC2B",0.138926891284928,0.0301010356897857,"Pot-34","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"35WHC1B",0.358337291470433,-0.316835736836489,"Pot-35","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"35WHC2B",0.382626943001368,-0.347543478827554,"Pot-35","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"36WHC1B",0.181892515885965,0.116334330260099,"Pot-36","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"36WHC2B",0.324401634301797,-0.248620273374797,"Pot-36","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"37WHC1B",0.319349844485894,-0.0972402216677016,"Pot-37","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"37WHC2B",0.328579379381111,-0.213063056534604,"Pot-37","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"38WHC1B",0.297922656268357,0.0274122921209393,"Pot-38","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"38WHC2B",0.272109228046181,-0.0136870061456208,"Pot-38","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"39WHC1B",0.368579510380783,-0.347472732894116,"Pot-39","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"39WHC2B",0.381314264480887,-0.355744976693037,"Pot-39","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"3WLC1B",0.040469797947291,0.192667926982364,"Pot-3","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"3WLC2B",0.124143024903164,0.154485347512262,"Pot-3","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"40WHC1B",0.339529107194438,-0.184404051996829,"Pot-40","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"40WHC2B",0.316988827600583,-0.0927994583904625,"Pot-40","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"4WLC1B",0.120745666046637,0.21579867054252,"Pot-4","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"4WLC2B",0.0791961484717948,0.227770459183258,"Pot-4","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
