"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"10WLC1F",0.326540173801846,-0.330665780751085,"Pot-10","Wet","Low","Conspecific",1,"Fungi","Fungi"
"10WLC2F",0.0986317664089801,-0.140651396139363,"Pot-10","Wet","Low","Conspecific",2,"Fungi","Fungi"
"114DHH1F",-0.262864215402822,0.143971332016484,"Pot-114","Dry","High","Heterospecific",1,"Fungi","Fungi"
"114DHH2F",-0.211337723371354,-0.15351035641645,"Pot-114","Dry","High","Heterospecific",2,"Fungi","Fungi"
"117DHH1F",-0.307754911743375,-0.0731577563817051,"Pot-117","Dry","High","Heterospecific",1,"Fungi","Fungi"
"117DHH2F",-0.193524401786642,0.0898587310893107,"Pot-117","Dry","High","Heterospecific",2,"Fungi","Fungi"
"119DHH1F",-0.322553477512739,0.129010621024114,"Pot-119","Dry","High","Heterospecific",1,"Fungi","Fungi"
"119DHH2F",-0.149293957887356,-0.0123577944515196,"Pot-119","Dry","High","Heterospecific",2,"Fungi","Fungi"
"1WLC1F",-0.00467743008347074,-0.101422801091911,"Pot-1","Wet","Low","Conspecific",1,"Fungi","Fungi"
"1WLC2F",0.106856606804285,-0.151226340685085,"Pot-1","Wet","Low","Conspecific",2,"Fungi","Fungi"
"21WLH1F",0.183624095354384,0.186461552005374,"Pot-21","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"21WLH2F",0.32510412449172,0.148032818520696,"Pot-21","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"22WLH1F",0.218681158604588,0.0716836602842095,"Pot-22","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"22WLH2F",0.301794517344214,0.14822993962252,"Pot-22","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"23WLH1F",0.183386151561238,-0.386881585196833,"Pot-23","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"23WLH2F",0.152046054564039,-0.0958292802606819,"Pot-23","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"24WLH1F",0.393495198601173,0.0146836724492673,"Pot-24","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"24WLH2F",0.280185601383036,-0.382254426509466,"Pot-24","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"25WLH1F",0.41796786306081,-0.115658015748966,"Pot-25","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"25WLH2F",0.316376326150417,0.100105719002573,"Pot-25","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"26WLH1F",0.362872985804805,-0.0852743354517004,"Pot-26","Wet","Low","Heterospecific",1,"Fungi","Fungi"
"26WLH2F",0.36158695378566,-0.204244692881245,"Pot-26","Wet","Low","Heterospecific",2,"Fungi","Fungi"
"27WLH1F",0.201089843555017,0.208224903650534,"Pot-27","Wet","Low","Heterospecific",1,"Fungi","Fungi"
