"Class_L1","Class_L2","mean_diff","sd_diff","n","se_diff","Direction","Label"
"Biosynthesis / cellular components","Cofactor / vitamin metabolism",-1.57340100227432,1.23120183367074,4,0.615600916835372,"High","Cofactor / vitamin metabolism (n=4)"
"Biosynthesis / cellular components","Lipid metabolism",-1.09278222958556,1.83827993617453,2,1.29986020858819,"High","Lipid metabolism (n=2)"
"Biosynthesis / cellular components","Cell envelope / glycan metabolism",-0.629860184207682,0.0569074449413206,2,0.0402396402180078,"High","Cell envelope / glycan metabolism (n=2)"
"Biosynthesis / cellular components","Nucleotide metabolism",-0.557368755717228,NA,1,NA,"High","Nucleotide metabolism (n=1)"
"Biosynthesis / cellular components","Amino acid metabolism",-0.126810903236198,0.507467897702796,13,0.140746271216873,"High","Amino acid metabolism (n=13)"
"Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism",0.120818879942773,0.0494137438947743,2,0.0349407933918103,"Low","Secondary metabolite / isoprenoid metabolism (n=2)"
"Substrate utilization / nutrient cycling","Phosphorus metabolism",0.173130180009019,0.00601967351012979,2,0.0042565519595418,"Low","Phosphorus metabolism (n=2)"
"Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.30866344954797,0.119297030536248,2,0.0843557392675994,"Low","Carbohydrate metabolism (n=2)"
"Substrate utilization / nutrient cycling","Aromatic compound metabolism",0.335385029850735,0.0875248634339043,7,0.0330812888830002,"Low","Aromatic compound metabolism (n=7)"
"Energy metabolism","Energy / central carbon metabolism",-0.566670122203476,0.934256484714791,5,0.417812201648453,"High","Energy / central carbon metabolism (n=5)"
"Other","Other",0.309656562075389,0.0707549881280982,6,0.028885602945087,"Low","Other (n=6)"
