"Class_L1","Class_L2","mean_diff","sd_diff","n","se_diff","Direction","Label"
"Biosynthesis / cellular components","Cell envelope / glycan metabolism",-0.323145743406646,0.77366000972315,15,0.199758155552295,"Wet","Cell envelope / glycan metabolism (n=15)"
"Biosynthesis / cellular components","Cofactor / vitamin metabolism",-0.287175905834504,1.14024558456049,40,0.180288656958063,"Wet","Cofactor / vitamin metabolism (n=40)"
"Biosynthesis / cellular components","Amino acid metabolism",-0.232567531674131,0.703606973775749,48,0.101556918928282,"Wet","Amino acid metabolism (n=48)"
"Biosynthesis / cellular components","Lipid metabolism",-0.0569209905700885,0.77274114310109,24,0.157735125321056,"Wet","Lipid metabolism (n=24)"
"Biosynthesis / cellular components","Nucleotide metabolism",0.103571812522325,0.617614619703699,21,0.134774559290646,"Dry","Nucleotide metabolism (n=21)"
"Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism",0.121425366659686,0.698511219165278,8,0.246961009903325,"Dry","Secondary metabolite / isoprenoid metabolism (n=8)"
"Substrate utilization / nutrient cycling","Sulfur metabolism",-0.0935626683504171,0.402780249064593,3,0.232545285221707,"Wet","Sulfur metabolism (n=3)"
"Substrate utilization / nutrient cycling","Phosphorus metabolism",0.0632128466231364,0.305629972234098,13,0.0847665027852827,"Dry","Phosphorus metabolism (n=13)"
"Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.237411906013265,0.317070102177036,14,0.084740549281134,"Dry","Carbohydrate metabolism (n=14)"
"Substrate utilization / nutrient cycling","Polymer degradation",0.354848576864674,0.480686568465117,4,0.240343284232559,"Dry","Polymer degradation (n=4)"
"Substrate utilization / nutrient cycling","Nitrogen metabolism",0.443414860772291,0.268108135618554,6,0.109454688025728,"Dry","Nitrogen metabolism (n=6)"
"Substrate utilization / nutrient cycling","Aromatic compound metabolism",0.453157805145645,0.283097642348955,30,0.0516863215636842,"Dry","Aromatic compound metabolism (n=30)"
"Substrate utilization / nutrient cycling","Organic acid / small-molecule metabolism",0.465298496410355,0.414772430115179,11,0.125058593097814,"Dry","Organic acid / small-molecule metabolism (n=11)"
"Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation",0.685074713031574,0.141724772403009,3,0.0818248354977154,"Dry","Xenobiotic / pollutant degradation (n=3)"
"Energy metabolism","Energy / central carbon metabolism",-0.304256828279797,0.751813471571206,24,0.153463282258323,"Wet","Energy / central carbon metabolism (n=24)"
"Cellular processes","Cellular processes",-0.158529300486431,0.561964393248875,2,0.397368833251664,"Wet","Cellular processes (n=2)"
"Other","Other",0.162421103470377,0.494819123206789,3,0.285683953983614,"Dry","Other (n=3)"
