"Class_L1","Class_L2","Frequency","mean_diff","sd_diff","n","se_diff","Direction","Label"
"Biosynthesis / cellular components","Cofactor / vitamin metabolism","High",-3.48681886215203,1.28453358061799,5,0.574460881128604,"Wet","Cofactor / vitamin metabolism (n=5)"
"Biosynthesis / cellular components","Cofactor / vitamin metabolism","Low",-2.01821208099906,0.661101061881183,5,0.295653382872724,"Wet","Cofactor / vitamin metabolism (n=5)"
"Biosynthesis / cellular components","Amino acid metabolism","High",-1.82064851232447,2.06937280631956,7,0.782149402200199,"Wet","Amino acid metabolism (n=7)"
"Biosynthesis / cellular components","Amino acid metabolism","Low",-0.49449361595064,0.897447251013644,7,0.339203177282952,"Wet","Amino acid metabolism (n=7)"
"Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism","Low",0.036071801199494,0.305338736638623,3,0.17628740179233,"Dry","Secondary metabolite / isoprenoid metabolism (n=3)"
"Biosynthesis / cellular components","Nucleotide metabolism","High",0.0869179688582498,1.88855433726756,5,0.844587175466465,"Dry","Nucleotide metabolism (n=5)"
"Biosynthesis / cellular components","Nucleotide metabolism","Low",0.141124492121405,0.918035585979247,5,0.41055799520269,"Dry","Nucleotide metabolism (n=5)"
"Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism","High",0.372184522730697,0.824119426912487,3,0.475805572972324,"Dry","Secondary metabolite / isoprenoid metabolism (n=3)"
"Biosynthesis / cellular components","Lipid metabolism","Low",0.564061028949101,NA,1,0,"Dry","Lipid metabolism (n=1)"
"Biosynthesis / cellular components","Lipid metabolism","High",1.34246565905924,NA,1,0,"Dry","Lipid metabolism (n=1)"
"Substrate utilization / nutrient cycling","Sulfur metabolism","High",-1.08793296094258,NA,1,0,"Wet","Sulfur metabolism (n=1)"
"Substrate utilization / nutrient cycling","Sulfur metabolism","Low",-0.31640733012984,NA,1,0,"Wet","Sulfur metabolism (n=1)"
"Substrate utilization / nutrient cycling","Carbohydrate metabolism","Low",0.0168667812764792,0.233621254137958,7,0.0883005342040079,"Dry","Carbohydrate metabolism (n=7)"
"Substrate utilization / nutrient cycling","Organic acid / small-molecule metabolism","Low",0.223254388131128,0.223115184981772,5,0.0997801440863365,"Dry","Organic acid / small-molecule metabolism (n=5)"
"Substrate utilization / nutrient cycling","Aromatic compound metabolism","Low",0.252402467293914,0.247861073310297,6,0.101188859451467,"Dry","Aromatic compound metabolism (n=6)"
"Substrate utilization / nutrient cycling","Carbohydrate metabolism","High",0.297964096238136,0.58240927392599,7,0.220130014295124,"Dry","Carbohydrate metabolism (n=7)"
"Substrate utilization / nutrient cycling","Nitrogen metabolism","Low",0.331328429115804,0.257653951873072,5,0.11522635021193,"Dry","Nitrogen metabolism (n=5)"
"Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation","Low",0.610679265836034,NA,1,0,"Dry","Xenobiotic / pollutant degradation (n=1)"
"Substrate utilization / nutrient cycling","Aromatic compound metabolism","High",0.625376050371481,0.565880787886872,6,0.231019864261159,"Dry","Aromatic compound metabolism (n=6)"
"Substrate utilization / nutrient cycling","Polymer degradation","Low",0.67371823667493,NA,1,0,"Dry","Polymer degradation (n=1)"
"Substrate utilization / nutrient cycling","Organic acid / small-molecule metabolism","High",0.769247636194307,0.231286200178158,5,0.103434333171197,"Dry","Organic acid / small-molecule metabolism (n=5)"
"Substrate utilization / nutrient cycling","Nitrogen metabolism","High",0.808749697293715,0.175982176254168,5,0.0787016217865338,"Dry","Nitrogen metabolism (n=5)"
"Substrate utilization / nutrient cycling","Polymer degradation","High",0.954139548763132,NA,1,0,"Dry","Polymer degradation (n=1)"
"Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation","High",1.32842765125503,NA,1,0,"Dry","Xenobiotic / pollutant degradation (n=1)"
"Energy metabolism","Energy / central carbon metabolism","High",-0.89498854705605,1.81261935574865,6,0.739998753246096,"Wet","Energy / central carbon metabolism (n=6)"
"Energy metabolism","Energy / central carbon metabolism","Low",-0.636690980603861,0.838472923805132,6,0.342305137743682,"Wet","Energy / central carbon metabolism (n=6)"
