"PathwayID","PathwayName","Class_L1","Class_L2","Frequency_FDR","Low","High","diff_Low_High"
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",0.00102066645731776,-4.30185169670844,-2.32690009196857,-1.97495160473987
"KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis","Biosynthesis / cellular components","Lipid metabolism",0.00947636603684921,-5.19572081244556,-2.80307837427182,-2.39264243817374
"METH-ACETATE-PWY","methanogenesis from acetate","Energy metabolism","Energy / central carbon metabolism",0.00102066645731776,-4.26511103388468,-2.29092516229631,-1.97418587158836
"NADSYN-PWY","NAD de novo biosynthesis II (from tryptophan)","Biosynthesis / cellular components","Amino acid metabolism",0.00359190733624377,-0.081861047929987,-0.409377895789272,0.327516847859285
"P108-PWY","pyruvate fermentation to propanoate I","Energy metabolism","Energy / central carbon metabolism",0.000358432424432271,-1.40871837928359,-0.351491767191435,-1.05722661209215
"P163-PWY","L-lysine fermentation to acetate and butanoate","Biosynthesis / cellular components","Amino acid metabolism",0.00802030349217382,-1.34202047513093,-0.85113860780886,-0.490881867322075
"P261-PWY","coenzyme M biosynthesis I","Biosynthesis / cellular components","Cofactor / vitamin metabolism",0.0091039986268431,-1.40540294992905,-1.60319832606414,0.19779537613509
"P42-PWY","incomplete reductive TCA cycle","Energy metabolism","Energy / central carbon metabolism",0.0278618505266376,1.3596377027242,1.50747137823328,-0.147833675509079
"PWY-1361","benzoyl-CoA degradation I (aerobic)","Substrate utilization / nutrient cycling","Aromatic compound metabolism",0.00358110674001626,-0.416637155575117,-0.625815218610056,0.209178063034939
"PWY-1501","mandelate degradation I","Substrate utilization / nutrient cycling","Aromatic compound metabolism",0.0478571440349859,-1.49311530372881,-1.71905993167596,0.225944627947149
"PWY-1622","formaldehyde assimilation I (serine pathway)","Biosynthesis / cellular components","Amino acid metabolism",0.00982263657292773,0.572225188951521,0.392280820451731,0.17994436849979
"PWY-1861","formaldehyde assimilation II (assimilatory RuMP Cycle)","Energy metabolism","Energy / central carbon metabolism",0.017894082564583,-0.947660978299433,-1.1134943906817,0.165833412382266
