"PathwayID","PathwayName","Class_L1","Class_L2","IF_FDR","Frequency","Dry","Wet","diff_Dry_Wet"
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation","Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation",0.0276187636650168,"Low",-0.326554416131792,-0.937233681967827,0.610679265836034
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation","Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation",0.0276187636650168,"High",0.130184042233781,-1.19824360902125,1.32842765125503
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Substrate utilization / nutrient cycling","Nitrogen metabolism",0.0352698449584951,"Low",0.0400119544461217,-0.510781044499719,0.55079299894584
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Substrate utilization / nutrient cycling","Nitrogen metabolism",0.0352698449584951,"High",0.146749094000101,-0.808949974075856,0.955699068075957
"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","Biosynthesis / cellular components","Amino acid metabolism",0.000949038322963646,"Low",-2.9032262778824,-2.51395937869802,-0.389266899184381
"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","Biosynthesis / cellular components","Amino acid metabolism",0.000949038322963646,"High",-3.39839683542172,-0.902504182132591,-2.49589265328913
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism",0.0385683723534465,"Low",0.019837185462349,-0.363448165728397,0.383285351190746
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism",0.0385683723534465,"High",0.305225416553355,-0.648048791638865,0.95327420819222
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",0.000267640774588923,"Low",-5.27040413184835,-3.30846458374443,-1.96193954810392
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",0.000267640774588923,"High",-5.32337779746314,-1.4279567803202,-3.89542101714294
"DARABCATK12-PWY","D-arabinose degradation I","Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.0434280990965821,"Low",-2.10220719760646,-1.99208304164391,-0.110124155962549
"DARABCATK12-PWY","D-arabinose degradation I","Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.0434280990965821,"High",-2.3598871189091,-1.83801998384476,-0.521867135064339
"FUCCAT-PWY","fucose degradation","Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.000267640774588923,"Low",-1.31353679196323,-1.71558751028856,0.402050718325326
"FUCCAT-PWY","fucose degradation","Substrate utilization / nutrient cycling","Carbohydrate metabolism",0.000267640774588923,"High",-1.94671835057973,-1.48864618503996,-0.458072165539775
