"PathwayID","PathwayName","Class_L1","Class_L2","Intensity_FDR","Dry","Wet","diff_Dry_Wet","Direction"
"12DICHLORETHDEG-PWY","1,2-dichloroethane degradation","Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation",1.63215238173438e-10,-0.0628375950658419,-0.677256670156497,0.614419075090655,"Higher in Dry"
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation","Substrate utilization / nutrient cycling","Xenobiotic / pollutant degradation",3.21304816121228e-15,-0.221153233432044,-1.06939060705817,0.848237373626122,"Higher in Dry"
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Substrate utilization / nutrient cycling","Nitrogen metabolism",1.50835293194534e-26,0.0646436020355016,-0.661752654411687,0.726396256447188,"Higher in Dry"
"ANAEROFRUCAT-PWY","homolactic fermentation","Energy metabolism","Energy / central carbon metabolism",0.0114724592262044,0.375310727469459,0.638339498777826,-0.263028771308367,"Higher in Wet"
"ARG+POLYAMINE-SYN","superpathway of arginine and polyamine biosynthesis","Biosynthesis / cellular components","Amino acid metabolism",6.30606127941606e-06,0.390235023819648,0.617871465659944,-0.227636441840296,"Higher in Wet"
"ARGININE-SYN4-PWY","L-ornithine biosynthesis II","Biosynthesis / cellular components","Amino acid metabolism",1.21528560519633e-06,1.00166367459755,0.800242045780682,0.20142162881687,"Higher in Dry"
"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","Biosynthesis / cellular components","Amino acid metabolism",2.44898528303983e-08,-3.01749640654532,-1.69803269689274,-1.31946370965258,"Higher in Wet"
"AST-PWY","L-arginine degradation II (AST pathway)","Biosynthesis / cellular components","Amino acid metabolism",0.00206243473388221,-3.0722846059849,-2.47622926635038,-0.596055339634521,"Higher in Wet"
"CATECHOL-ORTHO-CLEAVAGE-PWY","catechol degradation to &beta;-ketoadipate","Substrate utilization / nutrient cycling","Aromatic compound metabolism",5.8049288624404e-10,-0.415379366976237,-1.06015210337734,0.6447727364011,"Higher in Dry"
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","Biosynthesis / cellular components","Secondary metabolite / isoprenoid metabolism",1.31039516986306e-10,0.085696008021812,-0.507549748467874,0.593245756489686,"Higher in Dry"
"CITRULBIO-PWY","L-citrulline biosynthesis","Biosynthesis / cellular components","Amino acid metabolism",0.00436033811613147,0.908718031688052,0.747321807407093,0.161396224280959,"Higher in Dry"
"COBALSYN-PWY","superpathway of adenosylcobalamin salvage from cobinamide I","Biosynthesis / cellular components","Cofactor / vitamin metabolism",4.98920043430063e-06,0.882018683904926,0.693344092806266,0.18867459109866,"Higher in Dry"
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",3.87958724036044e-43,-5.2826288239133,-2.35630873390938,-2.92632009000392,"Higher in Wet"
"DARABCATK12-PWY","D-arabinose degradation I","Substrate utilization / nutrient cycling","Carbohydrate metabolism",3.18704873764626e-05,-2.16167179483015,-1.91407643010004,-0.247595364730108,"Higher in Wet"
"DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II","Biosynthesis / cellular components","Nucleotide metabolism",4.66915554910768e-08,-0.258482136249783,0.405228446258664,-0.663710582508447,"Higher in Wet"
"DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis","Biosynthesis / cellular components","Nucleotide metabolism",0.0010924974752736,1.53344938815056,1.35471463097505,0.178734757175513,"Higher in Dry"
"FAO-PWY","fatty acid &beta;-oxidation I (generic)","Biosynthesis / cellular components","Lipid metabolism",0.0340636678442497,1.570563542314,1.38522813876041,0.185335403553593,"Higher in Dry"
"GALLATE-DEGRADATION-I-PWY","gallate degradation II","Substrate utilization / nutrient cycling","Aromatic compound metabolism",0.000696169633408472,-0.878496873958314,-1.15990214305065,0.281405269092331,"Higher in Dry"
"GALLATE-DEGRADATION-II-PWY","gallate degradation I","Substrate utilization / nutrient cycling","Aromatic compound metabolism",4.35452577116186e-10,-0.893750671240326,-1.41582896007858,0.522078288838252,"Higher in Dry"
"GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Biosynthesis / cellular components","Cell envelope / glycan metabolism",0.00338850013131961,-1.12957739499674,-0.856693976534884,-0.272883418461857,"Higher in Wet"
"GLUCARDEG-PWY","D-glucarate degradation I","Substrate utilization / nutrient cycling","Carbohydrate metabolism",2.16162099305346e-13,0.455808726585011,-0.223031694387541,0.678840420972552,"Higher in Dry"
"GLUDEG-I-PWY","GABA shunt","Energy metabolism","Energy / central carbon metabolism",1.44434707800298e-10,0.152704538518171,-0.397921657511469,0.55062619602964,"Higher in Dry"
"GLYCOLYSIS-E-D","superpathway of glycolysis and the Entner-Doudoroff pathway","Energy metabolism","Energy / central carbon metabolism",0.000114659174483676,0.954162335797354,0.731354196079062,0.222808139718292,"Higher in Dry"
"HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","Substrate utilization / nutrient cycling","Aromatic compound metabolism",2.95100179885297e-12,-0.973807881184839,-1.91547228884294,0.941664407658103,"Higher in Dry"
"HEME-BIOSYNTHESIS-II","heme b biosynthesis I (aerobic)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",0.00832527875991378,0.869210435484928,0.716646280295916,0.152564155189012,"Higher in Dry"
"HEMESYN2-PWY","heme b biosynthesis II (oxygen-independent)","Biosynthesis / cellular components","Cofactor / vitamin metabolism",4.46980102038758e-10,0.0872046609124196,-0.448402036192345,0.535606697104764,"Higher in Dry"
"HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)","Substrate utilization / nutrient cycling","Organic acid / small-molecule metabolism",3.36318343251645e-05,-1.79175780971967,-2.81054390382008,1.01878609410042,"Higher in Dry"
"HISDEG-PWY","L-histidine degradation I","Biosynthesis / cellular components","Amino acid metabolism",3.03409162623148e-05,1.08884383559985,0.820013777476241,0.268830058123611,"Higher in Dry"
"HOMOSER-METSYN-PWY","L-methionine biosynthesis I","Biosynthesis / cellular components","Amino acid metabolism",1.59339957478623e-14,-1.0094506991103,-0.293135358084492,-0.716315341025803,"Higher in Wet"
