"PathwayID","PathwayName","Class_L2","Class_L1"
"12DICHLORETHDEG-PWY","1,2-dichloroethane degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"1CMET2-PWY","folate transformations III (E. coli)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"2AMINOBENZDEG-PWY","anthranilate degradation III (anaerobic)","Other","Other"
"2ASDEG-PWY","orthanilate degradation","Other","Other"
"2OXOBUTYRATECAT-PWY","2-oxobutanoate degradation II","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"2PHENDEG-PWY","phenylethylamine degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","4-hydroxyphenylacetate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"4-HYDROXYMANDELATE-DEGRADATION-PWY","4-hydroxymandelate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"4AMINOBUTMETAB-PWY","superpathway of 4-aminobutanoate degradation","Other","Other"
"4TOLCARBDEG-PWY","4-toluenecarboxylate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"6-HYDROXYCINEOLE-DEGRADATION-PWY","1,8-cineole degradation","Other","Other"
"ACETATEUTIL-PWY","superpathway of acetate utilization and formation","Other","Other"
"ACETOACETATE-DEG-PWY","acetoacetate degradation (to acetyl CoA)","Other","Other"
"ADENOSYLHOMOCYSCAT-PWY","L-methionine salvage from L-homocysteine","Amino acid metabolism","Biosynthesis / cellular components"
"AEROBACTINSYN-PWY","aerobactin biosynthesis","Other","Other"
"ALACAT2-PWY","L-alanine degradation II (to D-lactate)","Amino acid metabolism","Biosynthesis / cellular components"
"ALADEG-PWY","L-alanine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-DEG3-PWY","L-alanine degradation III","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-SYN2-PWY","L-alanine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-VALINESYN-PWY","L-alanine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"ALKANEMONOX-PWY","two-component alkanesulfonate monooxygenase","Other","Other"
"ALL-CHORISMATE-PWY","superpathway of chorismate metabolism","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"AMMASSIM-PWY","ammonia assimilation cycle III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"AMMOXID-PWY","ammonia oxidation I (aerobic)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
