"","SPs","RPs","TBs","RB","TB","R_S","RD","RDMC","SRL","SRA","RTD","RCC","RNC","Root_CN","Bac_Richness","Bac_Shannon","Fun_Richness","Fun_Shannon","Bac_PCoA1","Bac_PCoA2","Fun_PCoA1","Fun_PCoA2"
"SPs","1","-0.03","-0.03","0.01","0.09","-0.12","-0.08","0.44***","-0.07","-0.14","0.24","0.12","0.24*","-0.2","-0.05","-0.08","-0.09","-0.01","-0.28*","0.11","-0.29*","0.15"
"RPs","-0.03","1","0.82***","-0.14","-0.29*","0.11","0.05","-0.23","0.13","0.2","-0.28*","0.03","-0.4***","0.49***","0.25*","0.32**","0.08","-0.01","0.47***","-0.26*","0.5***","0.14"
"TBs","-0.03","0.82***","1","0.39**","0.28*","0.33**","0.1","-0.24","0.09","0.15","-0.23","-0.06","-0.39**","0.41***","0.26*","0.26*","0.05","0.01","0.56***","-0.24","0.54***","0.13"
"RB","0.01","-0.14","0.39**","1","0.88***","0.7***","0.08","-0.07","-0.03","-0.03","0","-0.02","-0.02","-0.01","-0.01","-0.14","0.05","0.07","0.3*","0.13","0.19","0.02"
"TB","0.09","-0.29*","0.28*","0.88***","1","0.32**","0.07","0.04","-0.07","-0.09","0.1","-0.16","0.02","-0.12","-0.03","-0.13","0.02","0.07","0.16","0.08","0.09","0.06"
"R_S","-0.12","0.11","0.33**","0.7***","0.32**","1","0.08","-0.2","0.01","0.03","-0.09","0.18","-0.09","0.17","0.02","-0.06","0.18","0.07","0.36**","0.14","0.27*","-0.02"
"RD","-0.08","0.05","0.1","0.08","0.07","0.08","1","-0.09","-0.78***","-0.52***","-0.11","-0.15","-0.37**","0.34**","0.14","0.15","-0.11","-0.17","0.13","-0.45***","0.25*","-0.16"
"RDMC","0.44***","-0.23","-0.24","-0.07","0.04","-0.2","-0.09","1","-0.41***","-0.61***","0.79***","-0.03","-0.11","0.1","-0.24","-0.12","0.11","0.17","-0.77***","0.05","-0.67***","0.07"
"SRL","-0.07","0.13","0.09","-0.03","-0.07","0.01","-0.78***","-0.41***","1","0.94***","-0.52***","0.2","0.44***","-0.38**","0","-0.09","0.06","0.09","0.3*","0.38**","0.12","0.09"
"SRA","-0.14","0.2","0.15","-0.03","-0.09","0.03","-0.52***","-0.61***","0.94***","1","-0.78***","0.19","0.38**","-0.33**","0.06","-0.04","0.01","0.01","0.48***","0.26*","0.3*","0.02"
"RTD","0.24","-0.28*","-0.23","0","0.1","-0.09","-0.11","0.79***","-0.52***","-0.78***","1","-0.13","-0.18","0.12","-0.16","-0.07","0.07","0.13","-0.64***","0.04","-0.54***","0.09"
"RCC","0.12","0.03","-0.06","-0.02","-0.16","0.18","-0.15","-0.03","0.2","0.19","-0.13","1","0.47***","-0.02","-0.09","-0.24","-0.01","-0.09","-0.02","0.29*","-0.02","0.21"
"RNC","0.24*","-0.4***","-0.39**","-0.02","0.02","-0.09","-0.37**","-0.11","0.44***","0.38**","-0.18","0.47***","1","-0.88***","-0.24","-0.34**","-0.12","-0.07","-0.17","0.38**","-0.31*","0.02"
"Root_CN","-0.2","0.49***","0.41***","-0.01","-0.12","0.17","0.34**","0.1","-0.38**","-0.33**","0.12","-0.02","-0.88***","1","0.24","0.29*","0.14","0.02","0.18","-0.32**","0.35**","0.08"
"Bac_Richness","-0.05","0.25*","0.26*","-0.01","-0.03","0.02","0.14","-0.24","0","0.06","-0.16","-0.09","-0.24","0.24","1","0.82***","-0.07","-0.17","0.41***","-0.35**","0.39**","-0.02"
"Bac_Shannon","-0.08","0.32**","0.26*","-0.14","-0.13","-0.06","0.15","-0.12","-0.09","-0.04","-0.07","-0.24","-0.34**","0.29*","0.82***","1","-0.09","-0.22","0.26*","-0.61***","0.35**","-0.21"
"Fun_Richness","-0.09","0.08","0.05","0.05","0.02","0.18","-0.11","0.11","0.06","0.01","0.07","-0.01","-0.12","0.14","-0.07","-0.09","1","0.7***","-0.02","0.15","0.03","0.18"
"Fun_Shannon","-0.01","-0.01","0.01","0.07","0.07","0.07","-0.17","0.17","0.09","0.01","0.13","-0.09","-0.07","0.02","-0.17","-0.22","0.7***","1","-0.09","0.16","-0.13","0.13"
"Bac_PCoA1","-0.28*","0.47***","0.56***","0.3*","0.16","0.36**","0.13","-0.77***","0.3*","0.48***","-0.64***","-0.02","-0.17","0.18","0.41***","0.26*","-0.02","-0.09","1","0","0.87***","-0.01"
"Bac_PCoA2","0.11","-0.26*","-0.24","0.13","0.08","0.14","-0.45***","0.05","0.38**","0.26*","0.04","0.29*","0.38**","-0.32**","-0.35**","-0.61***","0.15","0.16","0","1","-0.25*","0.35**"
"Fun_PCoA1","-0.29*","0.5***","0.54***","0.19","0.09","0.27*","0.25*","-0.67***","0.12","0.3*","-0.54***","-0.02","-0.31*","0.35**","0.39**","0.35**","0.03","-0.13","0.87***","-0.25*","1","0"
"Fun_PCoA2","0.15","0.14","0.13","0.02","0.06","-0.02","-0.16","0.07","0.09","0.02","0.09","0.21","0.02","0.08","-0.02","-0.21","0.18","0.13","-0.01","0.35**","0","1"
