"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Domain","Phylum"
"de3f213528b5012f1ab578bd95bd8b33","28WLH2B",0.71784323405189,"Pot-28","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","96DHC2B",0.67921931690229,"Pot-96","Dry","High","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","9WLC2B",0.640802448146889,"Pot-9","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","67DLC1B",0.617685065534429,"Pot-67","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","89DLH1B",0.611658628643321,"Pot-89","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","67DLC2B",0.60639030436579,"Pot-67","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","119DHH1B",0.597418120965814,"Pot-119","Dry","High","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","10WLC2B",0.591665716565956,"Pot-10","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","31WHC2B",0.564259586535695,"Pot-31","Wet","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","117DHH1B",0.55969429398234,"Pot-117","Dry","High","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","52WHH2B",0.557525932940214,"Pot-52","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","88DLH1B",0.556842745203999,"Pot-88","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","96DHC1B",0.552646638054363,"Pot-96","Dry","High","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
