"Level","Taxon","mean_abundance","Effect"
"Dry","Acidibacter",0.0356830978648618,"Intensity"
"Dry","BIrii41",0.0315017668881406,"Intensity"
"Dry","Lechevalieria",0.10592138935072,"Intensity"
"Dry","Niastella",0.107648071448768,"Intensity"
"Dry","Nocardioides",0.0887241542395866,"Intensity"
"Dry","Ohtaekwangia",0.0350400552741589,"Intensity"
"Dry","Other",0.00217022666164975,"Intensity"
"Dry","Pseudonocardia",0.0849786071485,"Intensity"
"Dry","Rhodomicrobium",0.0468392578795068,"Intensity"
"Dry","Steroidobacter",0.12056290701968,"Intensity"
"Dry","Streptomyces",0.340930466224428,"Intensity"
"Wet","Acidibacter",0.121172117453964,"Intensity"
"Wet","BIrii41",0.1959646935298,"Intensity"
"Wet","Lechevalieria",0.0908080727487333,"Intensity"
"Wet","Niastella",0.0627926197611488,"Intensity"
"Wet","Nocardioides",0.0286288396131037,"Intensity"
"Wet","Ohtaekwangia",0.0827649030286043,"Intensity"
"Wet","Other",0.00549289009120967,"Intensity"
"Wet","Pseudonocardia",0.0695281398887895,"Intensity"
"Wet","Rhodomicrobium",0.174936609724425,"Intensity"
"Wet","Steroidobacter",0.0923677744849004,"Intensity"
"Wet","Streptomyces",0.0755433396753218,"Intensity"
"High","Acidibacter",0.0610433717855724,"Frequency"
"High","BIrii41",0.145249182367435,"Frequency"
"High","Lechevalieria",0.0751689953911566,"Frequency"
"High","Niastella",0.0763037482220028,"Frequency"
"High","Nocardioides",0.0746320119495842,"Frequency"
"High","Ohtaekwangia",0.0697319642339565,"Frequency"
"High","Other",0.00447430200576495,"Frequency"
"High","Pseudonocardia",0.05442076186074,"Frequency"
"High","Rhodomicrobium",0.111911580109543,"Frequency"
"High","Steroidobacter",0.0898662937306847,"Frequency"
"High","Streptomyces",0.23719778834356,"Frequency"
"Low","Acidibacter",0.0793278330551329,"Frequency"
"Low","BIrii41",0.0819997782068019,"Frequency"
"Low","Lechevalieria",0.111738632488977,"Frequency"
"Low","Niastella",0.0940406488427671,"Frequency"
"Low","Nocardioides",0.0561194582114469,"Frequency"
"Low","Ohtaekwangia",0.0488263281669952,"Frequency"
"Low","Other",0.00318734080448747,"Frequency"
"Low","Pseudonocardia",0.0904719736639554,"Frequency"
"Low","Rhodomicrobium",0.0982899660812456,"Frequency"
"Low","Steroidobacter",0.117673518258383,"Frequency"
"Low","Streptomyces",0.218324522219808,"Frequency"
"Conspecific","Acidibacter",0.0654001176407323,"Composition"
"Conspecific","BIrii41",0.0765253671064502,"Composition"
"Conspecific","Lechevalieria",0.109481790164903,"Composition"
"Conspecific","Niastella",0.0893577543965659,"Composition"
"Conspecific","Nocardioides",0.0604291059576621,"Composition"
"Conspecific","Ohtaekwangia",0.0517468843401042,"Composition"
"Conspecific","Other",0.00377615066180676,"Composition"
"Conspecific","Pseudonocardia",0.087006394198918,"Composition"
"Conspecific","Rhodomicrobium",0.0962322910457061,"Composition"
"Conspecific","Steroidobacter",0.122042209802007,"Composition"
"Conspecific","Streptomyces",0.238001934685144,"Composition"
"Heterospecific","Acidibacter",0.0805857820395189,"Composition"
"Heterospecific","BIrii41",0.129659045386282,"Composition"
"Heterospecific","Lechevalieria",0.0894390075594857,"Composition"
"Heterospecific","Niastella",0.0867034024429097,"Composition"
"Heterospecific","Nocardioides",0.0643379115869611,"Composition"
"Heterospecific","Ohtaekwangia",0.0599937859901828,"Composition"
"Heterospecific","Other",0.00347831560519537,"Composition"
"Heterospecific","Pseudonocardia",0.0696912304516305,"Composition"
"Heterospecific","Rhodomicrobium",0.109405824407744,"Composition"
"Heterospecific","Steroidobacter",0.094818557059877,"Composition"
"Heterospecific","Streptomyces",0.211887137470214,"Composition"
