"Level","Taxon","mean_abundance","Effect"
"Dry","Acidobacteriota",0.024154361528764,"Intensity"
"Dry","Actinobacteriota",0.504236897583581,"Intensity"
"Dry","Bacteroidota",0.111029787076424,"Intensity"
"Dry","Chloroflexi",0.0379509491372372,"Intensity"
"Dry","Desulfobacterota",9.08639744507055e-05,"Intensity"
"Dry","Firmicutes",0.00959251535540613,"Intensity"
"Dry","Myxococcota",0.0247651154474275,"Intensity"
"Dry","Other",0.000984654483898125,"Intensity"
"Dry","Planctomycetota",0.0127060149654259,"Intensity"
"Dry","Proteobacteria",0.262646058678626,"Intensity"
"Dry","Verrucomicrobiota",0.0118427817687605,"Intensity"
"Wet","Acidobacteriota",0.0241559508477983,"Intensity"
"Wet","Actinobacteriota",0.223291017276787,"Intensity"
"Wet","Bacteroidota",0.0881835986273821,"Intensity"
"Wet","Chloroflexi",0.0518932544000744,"Intensity"
"Wet","Desulfobacterota",0.054859823367505,"Intensity"
"Wet","Firmicutes",0.0956868313621157,"Intensity"
"Wet","Myxococcota",0.0566132123400629,"Intensity"
"Wet","Other",0.00169512954994155,"Intensity"
"Wet","Planctomycetota",0.0254806757363981,"Intensity"
"Wet","Proteobacteria",0.359127478046523,"Intensity"
"Wet","Verrucomicrobiota",0.0190130284454113,"Intensity"
"High","Acidobacteriota",0.0204050633761028,"Frequency"
"High","Actinobacteriota",0.273175412003711,"Frequency"
"High","Bacteroidota",0.105192923583867,"Frequency"
"High","Chloroflexi",0.0447834719903286,"Frequency"
"High","Desulfobacterota",0.065270089560829,"Frequency"
"High","Firmicutes",0.112792447165218,"Frequency"
"High","Myxococcota",0.0516220923965119,"Frequency"
"High","Other",0.00159393405179271,"Frequency"
"High","Planctomycetota",0.0209627917599043,"Frequency"
"High","Proteobacteria",0.285200032005764,"Frequency"
"High","Verrucomicrobiota",0.0190017421059707,"Frequency"
"Low","Acidobacteriota",0.0266374672191085,"Frequency"
"Low","Actinobacteriota",0.375356666796956,"Frequency"
"Low","Bacteroidota",0.0919764648103575,"Frequency"
"Low","Chloroflexi",0.0474139941935927,"Frequency"
"Low","Desulfobacterota",0.0118888656004678,"Frequency"
"Low","Firmicutes",0.027647899999983,"Frequency"
"Low","Myxococcota",0.0389356766158183,"Frequency"
"Low","Other",0.00129405849414031,"Frequency"
"Low","Planctomycetota",0.0200551643595614,"Frequency"
"Low","Proteobacteria",0.344496874448413,"Frequency"
"Low","Verrucomicrobiota",0.0142968674616018,"Frequency"
"Conspecific","Acidobacteriota",0.0200663487511068,"Composition"
"Conspecific","Actinobacteriota",0.327396627741119,"Composition"
"Conspecific","Bacteroidota",0.0992167195975827,"Composition"
"Conspecific","Chloroflexi",0.0363968181132525,"Composition"
"Conspecific","Desulfobacterota",0.0387934646959369,"Composition"
"Conspecific","Firmicutes",0.0844414460219706,"Composition"
"Conspecific","Myxococcota",0.0362495940783703,"Composition"
"Conspecific","Other",0.00138523962462032,"Composition"
"Conspecific","Planctomycetota",0.0162779182327745,"Composition"
"Conspecific","Proteobacteria",0.325501053950357,"Composition"
"Conspecific","Verrucomicrobiota",0.01427476919291,"Composition"
"Heterospecific","Acidobacteriota",0.028377923871529,"Composition"
"Heterospecific","Actinobacteriota",0.34216375529485,"Composition"
"Heterospecific","Bacteroidota",0.0951989106791855,"Composition"
"Heterospecific","Chloroflexi",0.0566616945688013,"Composition"
"Heterospecific","Desulfobacterota",0.0273195051133876,"Composition"
"Heterospecific","Firmicutes",0.0379266367226853,"Composition"
"Heterospecific","Myxococcota",0.0519797670421325,"Composition"
"Heterospecific","Other",0.00144266024824092,"Composition"
"Heterospecific","Planctomycetota",0.0246906192306189,"Composition"
"Heterospecific","Proteobacteria",0.316110031552244,"Composition"
"Heterospecific","Verrucomicrobiota",0.0181284956763248,"Composition"
