"Level","Taxon","mean_abundance","Effect"
"Dry","Apiosordaria",0.313036579188423,"Intensity"
"Dry","Biappendiculispora",0.000229362271263267,"Intensity"
"Dry","Cistella",0.0448373883515453,"Intensity"
"Dry","Darksidea",0.459345187357316,"Intensity"
"Dry","Fusarium",0.0144988783342798,"Intensity"
"Dry","Olpidiaster",0.00162844706688869,"Intensity"
"Dry","Other",0.00191966479879698,"Intensity"
"Dry","Podospora",0.0636138282271927,"Intensity"
"Dry","Preussia",0.0694804425116028,"Intensity"
"Dry","Pseudomassariosphaeria",0.0172877882551208,"Intensity"
"Dry","Stachybotryaceae sp.",0.0141224336375706,"Intensity"
"Wet","Apiosordaria",0.0822928564891233,"Intensity"
"Wet","Biappendiculispora",0.0399611460369219,"Intensity"
"Wet","Cistella",0.0569434278244506,"Intensity"
"Wet","Darksidea",0.102773466514354,"Intensity"
"Wet","Fusarium",0.0360848937370254,"Intensity"
"Wet","Olpidiaster",0.0343467532867377,"Intensity"
"Wet","Other",0.00352796913377132,"Intensity"
"Wet","Podospora",0.307883038269323,"Intensity"
"Wet","Preussia",0.0261116561510421,"Intensity"
"Wet","Pseudomassariosphaeria",0.255930149029479,"Intensity"
"Wet","Stachybotryaceae sp.",0.0541446435277712,"Intensity"
"High","Apiosordaria",0.17610634485609,"Frequency"
"High","Biappendiculispora",0.0360304673899786,"Frequency"
"High","Cistella",0.0630532607164899,"Frequency"
"High","Darksidea",0.148753448085779,"Frequency"
"High","Fusarium",0.0327738039209414,"Frequency"
"High","Olpidiaster",0.0233410924563098,"Frequency"
"High","Other",0.00285729447820972,"Frequency"
"High","Podospora",0.225152535699833,"Frequency"
"High","Preussia",0.0254165597144489,"Frequency"
"High","Pseudomassariosphaeria",0.233337299643068,"Frequency"
"High","Stachybotryaceae sp.",0.0331778930388521,"Frequency"
"Low","Apiosordaria",0.191068990557125,"Frequency"
"Low","Biappendiculispora",0.0132607383048198,"Frequency"
"Low","Cistella",0.0440430174946425,"Frequency"
"Low","Darksidea",0.335415643186221,"Frequency"
"Low","Fusarium",0.022345291657723,"Frequency"
"Low","Olpidiaster",0.0174252948591052,"Frequency"
"Low","Other",0.00278073550761316,"Frequency"
"Low","Podospora",0.181918217510154,"Frequency"
"Low","Preussia",0.0585071126296445,"Frequency"
"Low","Pseudomassariosphaeria",0.0948960088938543,"Frequency"
"Low","Stachybotryaceae sp.",0.038338949399097,"Frequency"
"Conspecific","Apiosordaria",0.190885438738065,"Composition"
"Conspecific","Biappendiculispora",0.0259349326589912,"Composition"
"Conspecific","Cistella",0.043781537284404,"Composition"
"Conspecific","Darksidea",0.29670522814723,"Composition"
"Conspecific","Fusarium",0.0427828939898495,"Composition"
"Conspecific","Olpidiaster",0.0118574824105822,"Composition"
"Conspecific","Other",0.00274044384319796,"Composition"
"Conspecific","Podospora",0.172033963793339,"Composition"
"Conspecific","Preussia",0.042502125963354,"Composition"
"Conspecific","Pseudomassariosphaeria",0.130221740899939,"Composition"
"Conspecific","Stachybotryaceae sp.",0.0405542122710484,"Composition"
"Heterospecific","Apiosordaria",0.179249731457642,"Composition"
"Heterospecific","Biappendiculispora",0.0184374982446248,"Composition"
"Heterospecific","Cistella",0.0595707770857552,"Composition"
"Heterospecific","Darksidea",0.225606624346124,"Composition"
"Heterospecific","Fusarium",0.00959397033986975,"Composition"
"Heterospecific","Olpidiaster",0.0279273307430897,"Composition"
"Heterospecific","Other",0.0028838207196136,"Composition"
"Heterospecific","Podospora",0.22683274282121,"Composition"
"Heterospecific","Preussia",0.0484891074488191,"Composition"
"Heterospecific","Pseudomassariosphaeria",0.16950104614548,"Composition"
"Heterospecific","Stachybotryaceae sp.",0.0319073506477724,"Composition"
