"Level","Taxon","mean_abundance","Effect"
"Dry","Ascomycota",0.947140922270828,"Intensity"
"Dry","Basidiomycota",0.0361954295167611,"Intensity"
"Dry","Chytridiomycota",0.00124404649553353,"Intensity"
"Dry","Glomeromycota",0.00905122476370123,"Intensity"
"Dry","Mortierellomycota",6.98827086130436e-05,"Intensity"
"Dry","Other",0.0062984942445636,"Intensity"
"Wet","Ascomycota",0.914742158571959,"Intensity"
"Wet","Basidiomycota",0.0594873055146551,"Intensity"
"Wet","Chytridiomycota",0.0206752078685895,"Intensity"
"Wet","Glomeromycota",0.00027340204698657,"Intensity"
"Wet","Mortierellomycota",0.000178126691195706,"Intensity"
"Wet","Other",0.00464379930661412,"Intensity"
"High","Ascomycota",0.92416641934911,"Frequency"
"High","Basidiomycota",0.0524368379549698,"Frequency"
"High","Chytridiomycota",0.0152027256144678,"Frequency"
"High","Glomeromycota",0.000407023332306419,"Frequency"
"High","Mortierellomycota",0.000270615550085784,"Frequency"
"High","Other",0.00751637819906068,"Frequency"
"Low","Ascomycota",0.929864616191318,"Frequency"
"Low","Basidiomycota",0.0487967581882392,"Frequency"
"Low","Chytridiomycota",0.0114872165497973,"Frequency"
"Low","Glomeromycota",0.00596325615372745,"Frequency"
"Low","Mortierellomycota",4.59987449098515e-05,"Frequency"
"Low","Other",0.00384215417200845,"Frequency"
"Conspecific","Ascomycota",0.945876695722647,"Composition"
"Conspecific","Basidiomycota",0.0398458916292961,"Composition"
"Conspecific","Chytridiomycota",0.0078592215860884,"Composition"
"Conspecific","Glomeromycota",0.00128877421411044,"Composition"
"Conspecific","Mortierellomycota",0.000125861298656772,"Composition"
"Conspecific","Other",0.00500355554920101,"Composition"
"Heterospecific","Ascomycota",0.909047639501124,"Composition"
"Heterospecific","Basidiomycota",0.0607973941999351,"Composition"
"Heterospecific","Chytridiomycota",0.0181434340723766,"Composition"
"Heterospecific","Glomeromycota",0.00626466694297098,"Composition"
"Heterospecific","Mortierellomycota",0.000144600980630647,"Composition"
"Heterospecific","Other",0.00560226430296241,"Composition"
