"Level","Genus","mean_abundance","Effect"
"Dry","BIrii41",0.0111504339391678,"Intensity"
"Dry","Lechevalieria",0.0374921654043699,"Intensity"
"Dry","Rhodomicrobium",0.0165793256168658,"Intensity"
"Dry","Steroidobacter",0.0426747088507934,"Intensity"
"Dry","Streptomyces",0.120676489511967,"Intensity"
"Wet","BIrii41",0.0348721374365617,"Intensity"
"Wet","Lechevalieria",0.016159398594735,"Intensity"
"Wet","Rhodomicrobium",0.0311301662922696,"Intensity"
"Wet","Steroidobacter",0.0164369492714613,"Intensity"
"Wet","Streptomyces",0.0134430221899849,"Intensity"
"High","BIrii41",0.0304960315607864,"Frequency"
"High","Lechevalieria",0.0157822303608042,"Frequency"
"High","Rhodomicrobium",0.0234965803139918,"Frequency"
"High","Steroidobacter",0.0188680258655713,"Frequency"
"High","Streptomyces",0.0498012527270218,"Frequency"
"Low","BIrii41",0.0222791967592954,"Frequency"
"Low","Lechevalieria",0.0303591916133989,"Frequency"
"Low","Rhodomicrobium",0.0267052124002805,"Frequency"
"Low","Steroidobacter",0.031971689728541,"Frequency"
"Low","Streptomyces",0.0593183920040258,"Frequency"
"Conspecific","BIrii41",0.0183261691353447,"Composition"
"Conspecific","Lechevalieria",0.0262185191612524,"Composition"
"Conspecific","Rhodomicrobium",0.0230455508894472,"Composition"
"Conspecific","Steroidobacter",0.0292264678112768,"Composition"
"Conspecific","Streptomyces",0.0569963121315308,"Composition"
"Heterospecific","BIrii41",0.0330319347727059,"Composition"
"Heterospecific","Lechevalieria",0.0227854790619418,"Composition"
"Heterospecific","Rhodomicrobium",0.0278722247632178,"Composition"
"Heterospecific","Steroidobacter",0.0241559729420569,"Composition"
"Heterospecific","Streptomyces",0.0539803612099706,"Composition"
