"Level","Genus","mean_abundance","Effect"
"Dry","Apiosordaria",0.230022245099263,"Intensity"
"Dry","Cistella",0.0329469378938045,"Intensity"
"Dry","Darksidea",0.337531196978334,"Intensity"
"Dry","Podospora",0.0467440438625867,"Intensity"
"Dry","Pseudomassariosphaeria",0.0127032306497637,"Intensity"
"Wet","Apiosordaria",0.0494768981930672,"Intensity"
"Wet","Cistella",0.0342360722598928,"Intensity"
"Wet","Darksidea",0.0617904464204784,"Intensity"
"Wet","Podospora",0.185108384733697,"Intensity"
"Wet","Pseudomassariosphaeria",0.153872771809078,"Intensity"
"High","Apiosordaria",0.114565200224664,"Frequency"
"High","Cistella",0.0410190186202869,"Frequency"
"High","Darksidea",0.096770894756704,"Frequency"
"High","Podospora",0.146471981771134,"Frequency"
"High","Pseudomassariosphaeria",0.151796543590383,"Frequency"
"Low","Apiosordaria",0.125473940389006,"Frequency"
"Low","Cistella",0.0289228039336006,"Frequency"
"Low","Darksidea",0.220265582060032,"Frequency"
"Low","Podospora",0.119464678768577,"Frequency"
"Low","Pseudomassariosphaeria",0.0623176797468982,"Frequency"
"Conspecific","Apiosordaria",0.125980071970029,"Composition"
"Conspecific","Cistella",0.028894824322437,"Composition"
"Conspecific","Darksidea",0.195818739464792,"Composition"
"Conspecific","Podospora",0.113538524904007,"Composition"
"Conspecific","Pseudomassariosphaeria",0.0859434035361301,"Composition"
"Heterospecific","Apiosordaria",0.116233030036801,"Composition"
"Heterospecific","Cistella",0.0386281857496697,"Composition"
"Heterospecific","Darksidea",0.146292780083306,"Composition"
"Heterospecific","Podospora",0.14708784663311,"Composition"
"Heterospecific","Pseudomassariosphaeria",0.109911574358774,"Composition"
