"Rank","Taxon","Term","Chisq","Df","Pr(>Chisq)","p_adj"
"Bacterial phylum","Proteobacteria","(Intercept)",381.854639453402,1,4.91110982457321e-85,4.91110982457321e-85
"Bacterial phylum","Proteobacteria","Intensity",23.7850416771712,1,1.07716322217217e-06,1.34645402771522e-06
"Bacterial phylum","Proteobacteria","Frequency",15.9621349269834,1,6.462218504825e-05,0.00032311092524125
"Bacterial phylum","Proteobacteria","Composition",0.0722087863885736,1,0.788147525552682,0.788147525552682
"Bacterial phylum","Proteobacteria","Intensity:Frequency",3.34887465102407,1,0.0672509745025262,0.11208495750421
"Bacterial phylum","Proteobacteria","Intensity:Composition",0.251430315681091,1,0.616069744101059,0.681340989520056
"Bacterial phylum","Proteobacteria","Frequency:Composition",2.64299509047992,1,0.104007297790344,0.260018244475861
"Bacterial phylum","Proteobacteria","Intensity:Frequency:Composition",0.25561642702269,1,0.613147850852959,0.8667485100548
"Bacterial phylum","Actinobacteriota","(Intercept)",499.448500991392,1,1.25304156937344e-110,1.5663019617168e-110
"Bacterial phylum","Actinobacteriota","Intensity",495.540800301304,1,8.87586649272473e-110,4.43793324636236e-109
"Bacterial phylum","Actinobacteriota","Frequency",4.256277849777,1,0.0391055169479168,0.048881896184896
"Bacterial phylum","Actinobacteriota","Composition",1.80055199303924,1,0.179645775935571,0.299409626559284
"Bacterial phylum","Actinobacteriota","Intensity:Frequency",14.8316107170076,1,0.000117548603152188,0.000587743015760938
"Bacterial phylum","Actinobacteriota","Intensity:Composition",7.5442565369226,1,0.00602016567013609,0.0150504141753402
"Bacterial phylum","Actinobacteriota","Frequency:Composition",4.70426426387456,1,0.0300878776156141,0.15043938807807
"Bacterial phylum","Actinobacteriota","Intensity:Frequency:Composition",8.8008934976445,1,0.00301083056495341,0.0150541528247671
"Bacterial phylum","Firmicutes","(Intercept)",864.59074083336,1,4.89260302072074e-190,8.1543383678679e-190
"Bacterial phylum","Firmicutes","Intensity",55.750059875871,1,8.22957701326679e-14,2.0573942533167e-13
"Bacterial phylum","Firmicutes","Frequency",5.23122297554186,1,0.0221849283087179,0.0369748805145298
"Bacterial phylum","Firmicutes","Composition",4.38067809398609,1,0.0363485341233555,0.0908713353083889
"Bacterial phylum","Firmicutes","Intensity:Frequency",12.6643261370507,1,0.000372698833648693,0.000931747084121733
"Bacterial phylum","Firmicutes","Intensity:Composition",9.0263814033635,1,0.0026611074511475,0.0133055372557375
"Bacterial phylum","Firmicutes","Frequency:Composition",0.0261467360109809,1,0.871542479524907,0.871542479524907
"Bacterial phylum","Firmicutes","Intensity:Frequency:Composition",0.051609460945912,1,0.820285988938014,0.8667485100548
"Bacterial phylum","Chloroflexi","(Intercept)",3111.34792093355,1,0,0
"Bacterial phylum","Chloroflexi","Intensity",4.40427615014348,1,0.0358489354090979,0.0358489354090979
"Bacterial phylum","Chloroflexi","Frequency",0.329503078340305,1,0.565951840147017,0.565951840147017
"Bacterial phylum","Chloroflexi","Composition",14.4785065689421,1,0.000141767941822143,0.000708839709110716
"Bacterial phylum","Chloroflexi","Intensity:Frequency",2.28886468289166,1,0.130305206934857,0.162881508668572
"Bacterial phylum","Chloroflexi","Intensity:Composition",0.168620214035775,1,0.681340989520056,0.681340989520056
"Bacterial phylum","Chloroflexi","Frequency:Composition",0.0850961049427767,1,0.770506552954096,0.871542479524907
"Bacterial phylum","Chloroflexi","Intensity:Frequency:Composition",0.0281534754641079,1,0.8667485100548,0.8667485100548
"Bacterial phylum","Bacteroidota","(Intercept)",5344.10309794944,1,0,0
"Bacterial phylum","Bacteroidota","Intensity",30.65216851328,1,3.0868141597809e-08,5.1446902663015e-08
"Bacterial phylum","Bacteroidota","Frequency",14.0947993343591,1,0.000173823723539863,0.000434559308849657
"Bacterial phylum","Bacteroidota","Composition",0.394690970336273,1,0.529843877477221,0.662304846846526
"Bacterial phylum","Bacteroidota","Intensity:Frequency",0.0391981744087057,1,0.843056574082732,0.843056574082732
"Bacterial phylum","Bacteroidota","Intensity:Composition",0.700791447059466,1,0.40251788430358,0.670863140505967
"Bacterial phylum","Bacteroidota","Frequency:Composition",1.18221344343956,1,0.276905842745084,0.461509737908474
"Bacterial phylum","Bacteroidota","Intensity:Frequency:Composition",0.145453804074011,1,0.702918284358121,0.8667485100548
"Fungal phylum","Ascomycota","(Intercept)",554.615779821145,1,1.24703320646281e-122,1.55879150807852e-122
"Fungal phylum","Ascomycota","Intensity",2.52337816684178,1,0.112170055524834,0.140212569406042
"Fungal phylum","Ascomycota","Frequency",0.000785403522450942,1,0.977642170628954,0.977642170628954
"Fungal phylum","Ascomycota","Composition",1.99241265359386,1,0.158088843679111,0.395222109197779
"Fungal phylum","Ascomycota","Intensity:Frequency",5.37658014190296,1,0.0204088463101037,0.0315706115593574
"Fungal phylum","Ascomycota","Intensity:Composition",0.11671352223895,1,0.732626641686303,0.915783302107879
"Fungal phylum","Ascomycota","Frequency:Composition",5.94498908312241,1,0.0147591826774328,0.0737959133871638
"Fungal phylum","Ascomycota","Intensity:Frequency:Composition",0.347771683730997,1,0.555377244330858,0.87474262184396
"Fungal phylum","Basidiomycota","(Intercept)",524.731588189758,1,3.95485984543011e-116,3.95485984543011e-116
"Fungal phylum","Basidiomycota","Intensity",10.1114012209842,1,0.0014735488702338,0.00368387217558451
"Fungal phylum","Basidiomycota","Frequency",1.15796789370911,1,0.281887380377834,0.469812300629723
"Fungal phylum","Basidiomycota","Composition",0.414520618886588,1,0.519683889802686,0.866139816337811
