"Dataset","Rank","Purpose","TopN","Taxon"
"Bacteria","Phylum","Heatmap",5,"Actinobacteriota"
"Bacteria","Phylum","Heatmap",5,"Proteobacteria"
"Bacteria","Phylum","Heatmap",5,"Bacteroidota"
"Bacteria","Phylum","Heatmap",5,"Firmicutes"
"Bacteria","Phylum","Heatmap",5,"Chloroflexi"
"Fungi","Phylum","Heatmap",5,"Ascomycota"
"Fungi","Phylum","Heatmap",5,"Basidiomycota"
"Fungi","Phylum","Heatmap",5,"Chytridiomycota"
"Fungi","Phylum","Heatmap",5,"Glomeromycota"
"Fungi","Phylum","Heatmap",5,"Mortierellomycota"
"Bacteria","Genus","Heatmap",5,"Streptomyces"
"Bacteria","Genus","Heatmap",5,"Steroidobacter"
"Bacteria","Genus","Heatmap",5,"BIrii41"
"Bacteria","Genus","Heatmap",5,"Rhodomicrobium"
"Bacteria","Genus","Heatmap",5,"Lechevalieria"
"Fungi","Genus","Heatmap",5,"Darksidea"
"Fungi","Genus","Heatmap",5,"Podospora"
"Fungi","Genus","Heatmap",5,"Apiosordaria"
"Fungi","Genus","Heatmap",5,"Pseudomassariosphaeria"
"Fungi","Genus","Heatmap",5,"Cistella"
"Bacteria","Phylum","Barplot",10,"Actinobacteriota"
"Bacteria","Phylum","Barplot",10,"Proteobacteria"
"Bacteria","Phylum","Barplot",10,"Bacteroidota"
"Bacteria","Phylum","Barplot",10,"Firmicutes"
"Bacteria","Phylum","Barplot",10,"Chloroflexi"
"Bacteria","Phylum","Barplot",10,"Myxococcota"
"Bacteria","Phylum","Barplot",10,"Desulfobacterota"
"Bacteria","Phylum","Barplot",10,"Acidobacteriota"
"Bacteria","Phylum","Barplot",10,"Planctomycetota"
"Bacteria","Phylum","Barplot",10,"Verrucomicrobiota"
"Fungi","Phylum","Barplot",10,"Ascomycota"
"Fungi","Phylum","Barplot",10,"Basidiomycota"
"Fungi","Phylum","Barplot",10,"Chytridiomycota"
"Fungi","Phylum","Barplot",10,"Glomeromycota"
"Fungi","Phylum","Barplot",10,"Mortierellomycota"
"Bacteria","Genus","Barplot",10,"Streptomyces"
"Bacteria","Genus","Barplot",10,"Steroidobacter"
"Bacteria","Genus","Barplot",10,"BIrii41"
"Bacteria","Genus","Barplot",10,"Rhodomicrobium"
"Bacteria","Genus","Barplot",10,"Lechevalieria"
"Bacteria","Genus","Barplot",10,"Niastella"
"Bacteria","Genus","Barplot",10,"Pseudonocardia"
"Bacteria","Genus","Barplot",10,"Acidibacter"
"Bacteria","Genus","Barplot",10,"Nocardioides"
"Bacteria","Genus","Barplot",10,"Ohtaekwangia"
"Fungi","Genus","Barplot",10,"Darksidea"
"Fungi","Genus","Barplot",10,"Podospora"
"Fungi","Genus","Barplot",10,"Apiosordaria"
"Fungi","Genus","Barplot",10,"Pseudomassariosphaeria"
"Fungi","Genus","Barplot",10,"Cistella"
"Fungi","Genus","Barplot",10,"Preussia"
"Fungi","Genus","Barplot",10,"Stachybotryaceae sp."
"Fungi","Genus","Barplot",10,"Fusarium"
"Fungi","Genus","Barplot",10,"Biappendiculispora"
"Fungi","Genus","Barplot",10,"Olpidiaster"
