sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
0000f422bf58e13d7283dddb6e2d8cc1	1	0.107918	GCF_902459485.1
00024a7573c92ae018b1f093b9c7dd96	1	0.014843	GCF_003258865.1
0006fabf6a292057c5238559417f2ce8	1	0.158777	GCA_002729525.1
000cdd0f05a9c1efb9f745c616b033e3	1	0.026747	GCA_003220225.1
00157d546a692c910ddb8840ba7e3c3f	1	0.210867	GCF_008329965.1
002484e553dc0de46ae9bef09432d94d	2	0.154586	GCA_016875555.1
0029df345cb788829b3576b6c9131f82	1	0.028389	GCF_020873895.1
0030a9d1647f71c8745ea297e6b11d53	1	0.081759	GCA_019636345.1
003de552d985be2ef16dc36f842c9dc7	1	0.026122	GCF_003319185.1
0041977bb04d9c432a3946e59b4544b7	1	0.080959	GCA_016870325.1
0043e53d64078a5437b36d6fc6fb6d39	1	0.098211	GCA_020161935.1
00542e8d5e9fc3b2ef08b00b98f7b395	1	0.134272	GCA_013151775.1
005520afa8ad95fb047ba89aaa323516	1	0.0983	GCA_016870485.1
005e3cbb215d4711495fe8c56639ec86	1	0.204535	GCF_000025185.1
006792761810602125be966b6f559ed4	1	0.113907	GCA_020629695.1
006e6a4a7c1ff60ecc5252f6d907a620	1	0.07802	GCA_002215645.1
006f78a0d27a56b7bc19bd35b7c5342d	1	0.184515	GCF_002197845.1
0076659b68693aec23e1de80d420578a	1	0.007154	GCA_945889495.1
0087f4248bb6bb9a7e86e17fe5b79ad0	1	0.129036	GCF_900102695.1
00a371837ce94d68438980ecd2619cab	1	0.184515	GCF_002197845.1
00bf952a10bce10f3815effee837888c	1	0.045387	GCA_016794145.1
00ca995bc9693a2536220baa0b81e854	2	0.03633	GCF_900091425.1
00cd48d1348dd76ae0ecf6fcb5aee772	1	0.041034	GCF_007752535.1
00d526c172e556888dcc8f07978384c6	1	0.166159	GCF_000152145.1
00d6056b86e7c7f497251ca9d8b46eac	1	0.007393	GCA_008933705.1
00d6143d8561fd2abc6ff42b10fc8e56	1	0.128703	GCA_013817545.1
00d6e2636995af219f38deb35d4d717b	1	0.065768	GCA_016713175.1
00d96f14ce6a911ef01463619ee81f4f	1	0.065691	GCF_900605495.1
00e49f5671260d51c673e7207aeab6af	1	0.319217	GCA_934276735.1
00e62ae1b57124e583695943452785a4	1	0.031273	GCF_023822005.2
00e91dcba4caecc13efa34bb809e9524	1	0.150874	GCA_013377075.1
00ee634ba50681f351bdeb78fa3dca36	4	0.003673	GCF_009867135.1
0104f0f17102103e58680a1b953c244d	1	0.028267	GCA_003223025.1
010bf059592da3037cccb7cf609b6f2d	1	0.071417	GCF_004834005.1
0111a7d5e552d25b40ad59752ebf50a3	1	0.26851	GCA_025060195.1
0117867a9ba93735abe1d3efa8fa8955	1	0.040558	GCA_945861275.1
011a2d7f4c2242758d3626af54a9f15b	1	0.117016	GCA_016200145.1
0126c2e63608de8198236143b7c8d1a8	2	0.006607	GCF_014647595.1
